tile_id,xmin,ymin,xmax,ymax,native_px240,native_frac
t7_456,69930,4555440,79920,4565430,1831,0.6091151031270792
t7_457,69930,4565430,79920,4575420,2229,0.7415169660678643
t7_458,69930,4575420,79920,4585410,2121,0.7055888223552894
t7_459,69930,4585410,79920,4595400,1750,0.582168995342648
t7_460,69930,4595400,79920,4605390,1800,0.5988023952095808
t7_461,69930,4605390,79920,4615380,2341,0.7787757817697938
t7_462,69930,4615380,79920,4625370,1391,0.46274118429807054
t7_463,69930,4625370,79920,4635360,1979,0.6583499667332002
t7_464,69930,4635360,79920,4645350,1975,0.6570192947438457
t7_465,69930,4645350,79920,4655340,1476,0.49101796407185627
t7_466,69930,4655340,79920,4665330,1065,0.35429141716566864
t7_467,69930,4665330,79920,4675320,995,0.3310046573519627
t7_468,69930,4675320,79920,4685310,867,0.2884231536926148
t7_469,69930,4685310,79920,4695300,769,0.25582168995342647
t7_470,69930,4695300,79920,4705290,1127,0.37491683300066536
t7_471,69930,4705290,79920,4715280,533,0.17731204258150365
t7_472,69930,4715280,79920,4725270,32,0.010645375914836993
t7_479,69930,4785210,79920,4795200,491,0.16333998669328012
t7_480,69930,4795200,79920,4805190,1471,0.489354624085163
t7_481,69930,4805190,79920,4815180,2381,0.7920825016633399
t7_482,69930,4815180,79920,4825170,2226,0.7405189620758483
t7_483,69930,4825170,79920,4835160,2103,0.6996007984031936
t7_484,69930,4835160,79920,4845150,1567,0.521290751829674
t7_485,69930,4845150,79920,4855140,2514,0.8363273453093812
t7_486,69930,4855140,79920,4865130,2215,0.7368596141051231
t7_487,69930,4865130,79920,4875120,2421,0.8053892215568862
t7_488,69930,4875120,79920,4885110,2159,0.7182302062541583
t7_489,69930,4885110,79920,4895100,1740,0.5788423153692615
t7_490,69930,4895100,79920,4905090,1458,0.48502994011976047
t7_491,69930,4905090,79920,4915080,1333,0.4434464404524285
t7_492,69930,4915080,79920,4925070,2027,0.6743180306054558
t7_493,69930,4925070,79920,4935060,1797,0.5978043912175649
t7_494,69930,4935060,79920,4945050,2038,0.677977378576181
t7_495,69930,4945050,79920,4955040,1893,0.6297405189620758
t7_496,69930,4955040,79920,4965030,1296,0.4311377245508982
t7_497,69930,4965030,79920,4975020,1661,0.5525615435795076
t7_498,69930,4975020,79920,4985010,887,0.2950765136393879
t7_499,69930,4985010,79920,4995000,910,0.302727877578177
t7_500,69930,4995000,79920,5004990,606,0.20159680638722555
t7_501,69930,5004990,79920,5014980,1436,0.47771124417831007
t7_502,69930,5014980,79920,5024970,1534,0.5103127079174984
t7_503,69930,5024970,79920,5034960,1579,0.5252827677977379
t7_504,69930,5034960,79920,5044950,1670,0.5555555555555556
t7_505,69930,5044950,79920,5054940,714,0.2375249500998004
t7_506,69930,5054940,79920,5064930,2281,0.7588157019294743
t7_507,69930,5064930,79920,5074920,1416,0.47105788423153694
t7_508,69930,5074920,79920,5084910,1397,0.4647371922821025
t7_509,69930,5084910,79920,5094900,1124,0.37391882900864937
t7_510,69930,5094900,79920,5104890,1374,0.45708582834331335
t7_511,69930,5104890,79920,5114880,487,0.1620093147039255
t7_517,69930,5164830,79920,5174820,14,0.004657351962741184
