tile_id,xmin,ymin,xmax,ymax
t6_448,59940,4475520,69930,4485510
t6_449,59940,4485510,69930,4495500
t6_450,59940,4495500,69930,4505490
t6_451,59940,4505490,69930,4515480
t6_452,59940,4515480,69930,4525470
t6_453,59940,4525470,69930,4535460
t6_454,59940,4535460,69930,4545450
t6_455,59940,4545450,69930,4555440
t6_456,59940,4555440,69930,4565430
t6_457,59940,4565430,69930,4575420
t6_458,59940,4575420,69930,4585410
t6_459,59940,4585410,69930,4595400
t6_460,59940,4595400,69930,4605390
t6_461,59940,4605390,69930,4615380
t6_462,59940,4615380,69930,4625370
t6_463,59940,4625370,69930,4635360
t6_464,59940,4635360,69930,4645350
t6_465,59940,4645350,69930,4655340
t6_466,59940,4655340,69930,4665330
t6_467,59940,4665330,69930,4675320
t6_468,59940,4675320,69930,4685310
t6_469,59940,4685310,69930,4695300
t6_470,59940,4695300,69930,4705290
t6_471,59940,4705290,69930,4715280
t6_480,59940,4795200,69930,4805190
t6_481,59940,4805190,69930,4815180
t6_482,59940,4815180,69930,4825170
t6_483,59940,4825170,69930,4835160
t6_484,59940,4835160,69930,4845150
t6_485,59940,4845150,69930,4855140
t6_486,59940,4855140,69930,4865130
t6_487,59940,4865130,69930,4875120
t6_488,59940,4875120,69930,4885110
t6_489,59940,4885110,69930,4895100
t6_490,59940,4895100,69930,4905090
t6_491,59940,4905090,69930,4915080
t6_492,59940,4915080,69930,4925070
t6_493,59940,4925070,69930,4935060
t6_494,59940,4935060,69930,4945050
t6_495,59940,4945050,69930,4955040
t6_496,59940,4955040,69930,4965030
t6_497,59940,4965030,69930,4975020
t6_498,59940,4975020,69930,4985010
t6_501,59940,5004990,69930,5014980
t6_502,59940,5014980,69930,5024970
t6_503,59940,5024970,69930,5034960
t6_504,59940,5034960,69930,5044950
t6_505,59940,5044950,69930,5054940
t6_506,59940,5054940,69930,5064930
t6_507,59940,5064930,69930,5074920
t6_508,59940,5074920,69930,5084910
t6_509,59940,5084910,69930,5094900
t6_519,59940,5184810,69930,5194800
t6_520,59940,5194800,69930,5204790
t6_521,59940,5204790,69930,5214780
t6_522,59940,5214780,69930,5224770
t7_424,69930,4235760,79920,4245750
t7_426,69930,4255740,79920,4265730
t7_427,69930,4265730,79920,4275720
t7_428,69930,4275720,79920,4285710
t7_429,69930,4285710,79920,4295700
t7_430,69930,4295700,79920,4305690
t7_431,69930,4305690,79920,4315680
t7_432,69930,4315680,79920,4325670
t7_433,69930,4325670,79920,4335660
t7_434,69930,4335660,79920,4345650
t7_435,69930,4345650,79920,4355640
t7_436,69930,4355640,79920,4365630
t7_437,69930,4365630,79920,4375620
t7_439,69930,4385610,79920,4395600
t7_440,69930,4395600,79920,4405590
t7_441,69930,4405590,79920,4415580
t7_442,69930,4415580,79920,4425570
t7_443,69930,4425570,79920,4435560
t7_444,69930,4435560,79920,4445550
t7_445,69930,4445550,79920,4455540
t7_446,69930,4455540,79920,4465530
t7_447,69930,4465530,79920,4475520
t7_448,69930,4475520,79920,4485510
t7_449,69930,4485510,79920,4495500
t7_450,69930,4495500,79920,4505490
t7_451,69930,4505490,79920,4515480
t7_452,69930,4515480,79920,4525470
t7_453,69930,4525470,79920,4535460
t7_454,69930,4535460,79920,4545450
t7_455,69930,4545450,79920,4555440
t7_456,69930,4555440,79920,4565430
t7_457,69930,4565430,79920,4575420
t7_458,69930,4575420,79920,4585410
t7_459,69930,4585410,79920,4595400
t7_460,69930,4595400,79920,4605390
t7_461,69930,4605390,79920,4615380
t7_462,69930,4615380,79920,4625370
t7_463,69930,4625370,79920,4635360
t7_464,69930,4635360,79920,4645350
t7_465,69930,4645350,79920,4655340
t7_466,69930,4655340,79920,4665330
t7_467,69930,4665330,79920,4675320
t7_468,69930,4675320,79920,4685310
t7_469,69930,4685310,79920,4695300
t7_470,69930,4695300,79920,4705290
t7_471,69930,4705290,79920,4715280
t7_472,69930,4715280,79920,4725270
t7_479,69930,4785210,79920,4795200
t7_480,69930,4795200,79920,4805190
t7_481,69930,4805190,79920,4815180
t7_482,69930,4815180,79920,4825170
t7_483,69930,4825170,79920,4835160
t7_484,69930,4835160,79920,4845150
t7_485,69930,4845150,79920,4855140
t7_486,69930,4855140,79920,4865130
t7_487,69930,4865130,79920,4875120
t7_488,69930,4875120,79920,4885110
t7_489,69930,4885110,79920,4895100
t7_490,69930,4895100,79920,4905090
t7_491,69930,4905090,79920,4915080
t7_492,69930,4915080,79920,4925070
t7_493,69930,4925070,79920,4935060
t7_494,69930,4935060,79920,4945050
t7_495,69930,4945050,79920,4955040
t7_496,69930,4955040,79920,4965030
t7_497,69930,4965030,79920,4975020
t7_498,69930,4975020,79920,4985010
t7_499,69930,4985010,79920,4995000
t7_500,69930,4995000,79920,5004990
t7_501,69930,5004990,79920,5014980
t7_502,69930,5014980,79920,5024970
t7_503,69930,5024970,79920,5034960
t7_504,69930,5034960,79920,5044950
t7_505,69930,5044950,79920,5054940
t7_506,69930,5054940,79920,5064930
t7_507,69930,5064930,79920,5074920
t7_508,69930,5074920,79920,5084910
t7_509,69930,5084910,79920,5094900
t7_510,69930,5094900,79920,5104890
t7_511,69930,5104890,79920,5114880
t7_518,69930,5174820,79920,5184810
t7_519,69930,5184810,79920,5194800
t7_520,69930,5194800,79920,5204790
t7_521,69930,5204790,79920,5214780
t7_522,69930,5214780,79920,5224770
t7_523,69930,5224770,79920,5234760
t7_524,69930,5234760,79920,5244750
t7_525,69930,5244750,79920,5254740
t7_526,69930,5254740,79920,5264730
t7_527,69930,5264730,79920,5274720
t7_528,69930,5274720,79920,5284710
t7_529,69930,5284710,79920,5294700
t7_530,69930,5294700,79920,5304690
t7_531,69930,5304690,79920,5314680
t7_532,69930,5314680,79920,5324670
t8_421,79920,4205790,89910,4215780
t8_422,79920,4215780,89910,4225770
t8_423,79920,4225770,89910,4235760
t8_424,79920,4235760,89910,4245750
