tile_id,xmin,ymin,xmax,ymax
t16_416,159840,4155840,169830,4165830
t16_417,159840,4165830,169830,4175820
t16_421,159840,4205790,169830,4215780
t16_422,159840,4215780,169830,4225770
t16_426,159840,4255740,169830,4265730
t16_427,159840,4265730,169830,4275720
t16_431,159840,4305690,169830,4315680
t16_432,159840,4315680,169830,4325670
t16_436,159840,4355640,169830,4365630
t16_437,159840,4365630,169830,4375620
t16_441,159840,4405590,169830,4415580
t16_447,159840,4465530,169830,4475520
t16_456,159840,4555440,169830,4565430
t16_463,159840,4625370,169830,4635360
t16_467,159840,4665330,169830,4675320
t16_468,159840,4675320,169830,4685310
t16_472,159840,4715280,169830,4725270
t16_473,159840,4725270,169830,4735260
t16_484,159840,4835160,169830,4845150
t16_485,159840,4845150,169830,4855140
t16_489,159840,4885110,169830,4895100
t16_490,159840,4895100,169830,4905090
t16_494,159840,4935060,169830,4945050
t16_495,159840,4945050,169830,4955040
t16_499,159840,4985010,169830,4995000
t16_500,159840,4995000,169830,5004990
t16_504,159840,5034960,169830,5044950
t16_505,159840,5044950,169830,5054940
t16_509,159840,5084910,169830,5094900
t16_510,159840,5094900,169830,5104890
t16_518,159840,5174820,169830,5184810
t16_526,159840,5254740,169830,5264730
t16_531,159840,5304690,169830,5314680
t16_536,159840,5354640,169830,5364630
t16_540,159840,5394600,169830,5404590
t16_541,159840,5404590,169830,5414580
t16_545,159840,5444550,169830,5454540
t16_546,159840,5454540,169830,5464530
t16_550,159840,5494500,169830,5504490
t16_551,159840,5504490,169830,5514480
t16_555,159840,5544450,169830,5554440
t16_556,159840,5554440,169830,5564430
t16_560,159840,5594400,169830,5604390
t16_561,159840,5604390,169830,5614380
t16_565,159840,5644350,169830,5654340
t16_566,159840,5654340,169830,5664330
t16_570,159840,5694300,169830,5704290
t16_571,159840,5704290,169830,5714280
t16_575,159840,5744250,169830,5754240
t16_576,159840,5754240,169830,5764230
t16_580,159840,5794200,169830,5804190
t16_581,159840,5804190,169830,5814180
t16_585,159840,5844150,169830,5854140
t16_586,159840,5854140,169830,5864130
t16_590,159840,5894100,169830,5904090
t16_591,159840,5904090,169830,5914080
t16_595,159840,5944050,169830,5954040
t16_596,159840,5954040,169830,5964030
t16_600,159840,5994000,169830,6003990
t16_601,159840,6003990,169830,6013980
t17_407,169830,4065930,179820,4075920
t17_408,169830,4075920,179820,4085910
t17_412,169830,4115880,179820,4125870
t17_413,169830,4125870,179820,4135860
t17_417,169830,4165830,179820,4175820
t17_418,169830,4175820,179820,4185810
t17_422,169830,4215780,179820,4225770
t17_423,169830,4225770,179820,4235760
t17_427,169830,4265730,179820,4275720
t17_428,169830,4275720,179820,4285710
t17_432,169830,4315680,179820,4325670
t17_433,169830,4325670,179820,4335660
t17_437,169830,4365630,179820,4375620
t17_438,169830,4375620,179820,4385610
t17_463,169830,4625370,179820,4635360
t17_464,169830,4635360,179820,4645350
t17_468,169830,4675320,179820,4685310
t17_469,169830,4685310,179820,4695300
t17_473,169830,4725270,179820,4735260
t17_474,169830,4735260,179820,4745250
t17_478,169830,4775220,179820,4785210
t17_479,169830,4785210,179820,4795200
t17_483,169830,4825170,179820,4835160
t17_484,169830,4835160,179820,4845150
t17_488,169830,4875120,179820,4885110
t17_489,169830,4885110,179820,4895100
t17_493,169830,4925070,179820,4935060
t17_494,169830,4935060,179820,4945050
t17_498,169830,4975020,179820,4985010
t17_499,169830,4985010,179820,4995000
t17_503,169830,5024970,179820,5034960
t17_504,169830,5034960,179820,5044950
