plot_id,index,px,s00,s01,s02,s03,s04,s05,s06,s07,s08,s09,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51
PCL0404,ndvi,center,0.33554533,0.3247843,0.34780937,0.35083753,0.28486407,0.29099527,0.3348087,0.30506843,0.3285337,0.40568158,0.4121957,0.36958888,0.39152783,0.3953945,0.38395232,0.41015118,0.44221127,0.48863912,0.48651448,0.5123589,0.4993557,0.4950776,0.4769254,0.473297,0.4633804,0.44462806,0.44698754,0.4287853,0.40268877,0.37488687,0.36097124,0.33663994,0.32664776,0.33533883,0.33130342,0.38482326,0.3241444,0.22800557,0.32997188,0.31167164,0.3423707,0.35899538,0.3662686,0.34958732,0.32847658,0.3250787,0.30565387,0.31141677,0.32642445,0.3290785,0.32593927,0.34375122
PCL0404,ndvi,mean5x5,0.32847866,0.3181684,0.3375746,0.33522838,0.29271334,0.2825535,0.31934005,0.29137552,0.31003472,0.3550357,0.38029647,0.35604244,0.35673738,0.36184976,0.35022926,0.3690732,0.39328748,0.44971818,0.45895326,0.47902107,0.47031215,0.4634443,0.44847566,0.43686712,0.4367545,0.42100617,0.41818675,0.40807545,0.38546073,0.3629229,0.34620163,0.33173978,0.32294095,0.33102039,0.32929382,0.367524,0.3286291,0.25189856,0.3205824,0.3128975,0.33760393,0.34669808,0.35372517,0.33885115,0.33096808,0.32159397,0.30523807,0.308164,0.31789973,0.30867234,0.31194848,0.3342634
PCL0404,evi,center,0.11001996,0.09943405,0.10412758,0.099742524,0.07962707,0.07873088,0.09311805,0.10493545,0.11497864,0.13933305,0.14444047,0.123884864,0.11048492,0.10525312,0.10397989,0.112900384,0.12890455,0.14506577,0.14791791,0.15002008,0.1485139,0.15986234,0.15752979,0.16197611,0.16612704,0.16347423,0.16155049,0.16094263,0.15287976,0.14473672,0.14005944,0.1312044,0.13100624,0.13526577,0.13393961,0.15148166,0.12761183,0.08032946,0.119387396,0.11202041,0.12307582,0.12959361,0.12782781,0.12144241,0.11269238,0.1072711,0.09734804,0.10032146,0.10732906,0.10543375,0.110108584,0.115409106
PCL0404,evi,mean5x5,0.124898694,0.11753654,0.122931115,0.117848866,0.099071495,0.09312364,0.10742633,0.11680647,0.12790988,0.14641416,0.15520912,0.13336048,0.11782237,0.114992075,0.11426203,0.12767854,0.14915334,0.16796078,0.17392957,0.17704767,0.1725477,0.17696112,0.17245907,0.17065714,0.17354448,0.17058037,0.16765198,0.1690812,0.16014165,0.1533985,0.14615868,0.13999663,0.13851371,0.14219847,0.1415959,0.15272197,0.14029105,0.10217592,0.13059728,0.1282236,0.13882613,0.14345835,0.14409679,0.13699055,0.1329304,0.12621512,0.117197625,0.117554866,0.12220557,0.11612678,0.12024581,0.12891321
PCL0404,kndvi,center,0.11603424,0.109197415,0.122342534,0.12446642,0.10247856,0.109401606,0.14378886,0.12678729,0.14993106,0.18067151,0.18398076,0.15093502,0.1681971,0.16806889,0.15855736,0.1805689,0.2043188,0.23795019,0.23571238,0.25878167,0.2464892,0.24238029,0.22557457,0.2223458,0.21410161,0.19967732,0.2017116,0.18617898,0.16597462,0.14251927,0.13275607,0.11425999,0.10748264,0.113202274,0.110404685,0.14701581,0.10468464,0.05193976,0.10916575,0.09948659,0.11806101,0.13002993,0.13839377,0.12801933,0.11662193,0.114625216,0.10080468,0.10095476,0.11021266,0.111313574,0.10856294,0.1217051
PCL0404,kndvi,mean5x5,0.113598526,0.10764515,0.119690485,0.11828936,0.10125762,0.096930675,0.124292135,0.10733643,0.12409535,0.14294262,0.15809703,0.13855493,0.1523422,0.15446414,0.14548422,0.1616383,0.18027566,0.20732738,0.21531999,0.23179714,0.22394723,0.21822059,0.2058553,0.19515312,0.1956348,0.1828621,0.18055049,0.1712237,0.15487242,0.13618559,0.12514436,0.114446744,0.10863521,0.11406102,0.11311806,0.14063945,0.11169052,0.065691225,0.10608593,0.10340569,0.11894969,0.12533596,0.13092498,0.121377066,0.11618018,0.10998761,0.09939429,0.10023711,0.106230356,0.100704454,0.10249798,0.11766127
PCL0404,nbr,center,0.24972947,0.21300696,0.2105788,0.19264056,0.28035617,0.3358187,0.3935781,0.42475042,0.46009916,0.41197863,0.45174524,0.45447487,0.49583203,0.48010617,0.4350853,0.3908598,0.3538255,0.3297448,0.3190459,0.33056584,0.31202024,0.32979038,0.30414513,0.31441045,0.3022907,0.28709024,0.2796562,0.27246723,0.24773112,0.22302802,0.21430722,0.19455819,0.19922818,0.21408671,0.22350174,0.26620343,0.23764803,0.14966775,0.17698148,0.21813276,0.26012236,0.2911956,0.29987156,0.27224565,0.26809824,0.2368034,0.22547516,0.22243592,0.25784338,0.24319816,0.26443702,0.27813897
PCL0404,nbr,mean5x5,0.19895965,0.17710721,0.18661013,0.16671553,0.17499734,0.2075736,0.25889155,0.28795412,0.32721606,0.33684856,0.3751433,0.36810818,0.42184547,0.39692152,0.37625858,0.35412663,0.33636498,0.29152474,0.29136693,0.28536618,0.26311618,0.267329,0.23927881,0.24234395,0.24258396,0.23355606,0.22967409,0.23251218,0.20714134,0.18733865,0.17243072,0.1517058,0.15608887,0.17055173,0.18338236,0.21789232,0.2131522,0.0988301,0.14584488,0.17694809,0.21732382,0.24469027,0.25072876,0.22613539,0.21770622,0.19097622,0.16708845,0.16596422,0.19239451,0.17162064,0.1953445,0.2208087
PCL0404,savi,center,0.11837403,0.108098984,0.11468242,0.10976241,0.08705201,0.08419943,0.10050987,0.103840634,0.11458109,0.13835628,0.14193344,0.11849442,0.11131047,0.10759233,0.10539809,0.11811538,0.13643008,0.1547286,0.15653701,0.15997683,0.15784962,0.16601291,0.16296983,0.1676601,0.17449571,0.17135644,0.17258729,0.17256801,0.16388735,0.15531448,0.14943255,0.1401206,0.13752085,0.14245923,0.13998687,0.16260827,0.13290644,0.08188541,0.13082555,0.11923083,0.13255368,0.13921195,0.1385892,0.13187914,0.12235685,0.11694524,0.10562627,0.109253876,0.11525059,0.11362639,0.11700103,0.123977154
PCL0404,savi,mean5x5,0.13351539,0.12614363,0.13317293,0.12770277,0.10678062,0.0992837,0.114583835,0.11488207,0.12542279,0.14342654,0.15109612,0.12790167,0.11868214,0.117807485,0.11566509,0.13124998,0.15419193,0.17505844,0.18041132,0.18532139,0.18093129,0.1828992,0.17830724,0.17647097,0.1810806,0.17754719,0.17655586,0.17834447,0.168759,0.16186056,0.15374012,0.14787039,0.14393967,0.14846784,0.14646359,0.16236103,0.14326905,0.10420556,0.14017956,0.13417684,0.14657515,0.15043968,0.15241542,0.14503165,0.14108576,0.13456216,0.12528555,0.1261532,0.13005827,0.12383338,0.12693448,0.13740832
