species,nombre_normalizado,habito_raw,forma,estatus,es_sinonimo,aceptado,forma_inconsistente
Potamogeton dunicola,potamogeton dunicola,Hierba acuática,herbacea,nativa,True,Potamogeton illinoensis,False
Potamogeton pedersenii,potamogeton pedersenii,Hierba acuática,herbacea,nativa,True,Potamogeton illinoensis,False
Potamogeton badiovirens,potamogeton badiovirens,Hierba acuática,herbacea,nativa,True,Potamogeton linguatus,False
Potamogeton natans,potamogeton natans,Hierba acuática,herbacea,nativa,True,Potamogeton linguatus,False
Potamogeton montanus,potamogeton montanus,Hierba acuática,herbacea,nativa,True,Potamogeton linguatus,False
Potamogeton berteroanus,potamogeton berteroanus,Hierba acuática,herbacea,introducida,True,Potamogeton pusillus,False
Potamogeton aschersonii,potamogeton aschersonii,Hierba acuática,herbacea,introducida,True,Potamogeton pusillus,False
Potamogeton tenuifolius,potamogeton tenuifolius,Hierba acuática,herbacea,introducida,True,Potamogeton pusillus,False
Potamogeton uruguayensis,potamogeton uruguayensis,Hierba acuática,herbacea,introducida,True,Potamogeton pusillus,False
Potamogeton reniacoensis,potamogeton reniacoensis,Hierba acuática,herbacea,endemica,True,Potamogeton spirilliformis,False
Potamogeton strictus,potamogeton strictus,Hierba acuática,herbacea,nativa,True,Stuckenia filiformis,False
Potamogeton aulacophyllum,potamogeton aulacophyllum,Hierba acuática,herbacea,nativa,True,Stuckenia filiformis,False
Potamogeton juncifolius,potamogeton juncifolius,Hierba acuática,herbacea,nativa,True,Stuckenia filiformis,False
Potamogeton marinus,potamogeton marinus,Hierba acuática,herbacea,nativa,True,Stuckenia filiformis,False
Gaimardia pusilla,gaimardia pusilla,Hierba,herbacea,nativa,True,Gaimardia australis,False
Potamogeton diffusus,potamogeton diffusus,Hierba acuática,herbacea,nativa,True,Stuckenia pectinata,False
Potamogeton pectinatus,potamogeton pectinatus,Hierba acuática,herbacea,nativa,True,Stuckenia pectinata,False
Coleogeton pectinatus,coleogeton pectinatus,Hierba acuática,herbacea,nativa,True,Stuckenia pectinata,False
Potamogeton australis,potamogeton australis,Hierba acuática,herbacea,nativa,True,Stuckenia striata,False
Potamogeton dissimilis,potamogeton dissimilis,Hierba acuática,herbacea,nativa,True,Stuckenia striata,False
Coleogeton striatus,coleogeton striatus,Hierba acuática,herbacea,nativa,True,Stuckenia striata,False
Potamogeton striatus,potamogeton striatus,Hierba acuática,herbacea,nativa,True,Stuckenia striata,False
