species,nombre_normalizado,habito_raw,forma,estatus,es_sinonimo,aceptado,forma_inconsistente
Teesdalia nudicaulis,teesdalia nudicaulis,Hierba,herbacea,introducida,False,Teesdalia nudicaulis,False
Weberbauera chillanensis,weberbauera chillanensis,Hierba,herbacea,nativa,False,Weberbauera chillanensis,False
Weberbauera colchaguensis,weberbauera colchaguensis,Hierba,herbacea,nativa,False,Weberbauera colchaguensis,False
Thlaspi arvense,thlaspi arvense,Hierba,herbacea,introducida,False,Thlaspi arvense,False
Tomostima australis,tomostima australis,Hierba,herbacea,nativa,False,Tomostima australis,False
Weberbauera lagunae,weberbauera lagunae,Hierba,herbacea,endemica,False,Weberbauera lagunae,False
Weberbauera stenophylla,weberbauera stenophylla,Hierba,herbacea,endemica,False,Weberbauera stenophylla,False
Austrocactus philippii,austrocactus philippii,Subarbusto suculento,lenosa,nativa,False,Austrocactus philippii,False
Weberbauera suffruticosa,weberbauera suffruticosa,Hierba,herbacea,endemica,False,Weberbauera suffruticosa,False
Xerodraba lycopodioides,xerodraba lycopodioides,Subarbusto,lenosa,nativa,False,Xerodraba lycopodioides,False
Xerodraba patagonica,xerodraba patagonica,Subarbusto,lenosa,endemica,False,Xerodraba patagonica,False
Browningia candelaris,browningia candelaris,Árbol suculento,lenosa,nativa,False,Browningia candelaris,False
Copiapoa ahremephiana,copiapoa ahremephiana,Arbusto suculento,lenosa,endemica,False,Copiapoa ahremephiana,False
Copiapoa boliviana,copiapoa boliviana,Subarbusto suculento,lenosa,endemica,False,Copiapoa boliviana,False
Austrocactus patagonicus,austrocactus patagonicus,Subarbusto,lenosa,nativa,False,Austrocactus patagonicus,False
Copiapoa calderana,copiapoa calderana,Subarbusto suculento,lenosa,endemica,False,Copiapoa calderana,False
Copiapoa cinerascens,copiapoa cinerascens,Arbusto suculento,lenosa,endemica,False,Copiapoa cinerascens,False
Copiapoa cinerea,copiapoa cinerea,Arbusto suculento,lenosa,endemica,False,Copiapoa cinerea,False
Copiapoa coquimbana,copiapoa coquimbana,Subarbusto suculento,lenosa,endemica,False,Copiapoa coquimbana,False
Copiapoa decorticans,copiapoa decorticans,Subarbusto suculento,lenosa,endemica,False,Copiapoa decorticans,False
Copiapoa echinata,copiapoa echinata,Subarbusto suculento,lenosa,endemica,False,Copiapoa echinata,False
Copiapoa echinoides,copiapoa echinoides,Subarbusto suculento,lenosa,endemica,False,Copiapoa echinoides,False
Copiapoa eremophila,copiapoa eremophila,Arbusto suculento,lenosa,endemica,False,Copiapoa eremophila,False
Copiapoa humilis,copiapoa humilis,Subarbusto suculento,lenosa,endemica,False,Copiapoa humilis,False
Copiapoa grandiflora,copiapoa grandiflora,Subarbusto suculento,lenosa,endemica,False,Copiapoa grandiflora,False
Copiapoa hypogaea,copiapoa hypogaea,Subarbusto suculento,lenosa,endemica,False,Copiapoa hypogaea,False
Copiapoa krainziana,copiapoa krainziana,Subarbusto suculento,lenosa,endemica,False,Copiapoa krainziana,False
Copiapoa laui,copiapoa laui,Subarbusto suculento,lenosa,endemica,False,Copiapoa laui,False
Copiapoa longistaminea,copiapoa longistaminea,Arbusto suculento,lenosa,endemica,False,Copiapoa longistaminea,False
Copiapoa marginata,copiapoa marginata,Subarbusto suculento,lenosa,endemica,False,Copiapoa marginata,False
Copiapoa megarhiza,copiapoa megarhiza,Subarbusto suculento,lenosa,endemica,False,Copiapoa megarhiza,False
Cumulopuntia dactylifera,cumulopuntia dactylifera,Subarbusto suculento,lenosa,nativa,False,Cumulopuntia dactylifera,False
Copiapoa rarissima,copiapoa rarissima,Subarbusto suculento,lenosa,endemica,False,Copiapoa rarissima,False
Copiapoa rupestris,copiapoa rupestris,Arbusto suculento,lenosa,endemica,False,Copiapoa rupestris,False
Copiapoa serpentisulcata,copiapoa serpentisulcata,Arbusto suculento,lenosa,endemica,False,Copiapoa serpentisulcata,False
Copiapoa solaris,copiapoa solaris,Arbusto suculento,lenosa,endemica,False,Copiapoa solaris,False
Cumulopuntia ignescens,cumulopuntia ignescens,Arbusto suculento,lenosa,nativa,False,Cumulopuntia ignescens,False
Cumulopuntia sphaerica,cumulopuntia sphaerica,Subarbusto suculento,lenosa,nativa,False,Cumulopuntia sphaerica,False
Corryocactus brevistylus,corryocactus brevistylus,Arbusto suculento,lenosa,nativa,False,Corryocactus brevistylus,False
Cylindropuntia tunicata,cylindropuntia tunicata,Arbusto suculento,lenosa,introducida,False,Cylindropuntia tunicata,False
Echinopsis atacamensis,echinopsis atacamensis,Árbol suculento,lenosa,nativa,False,Echinopsis atacamensis,False
Echinopsis chiloensis,echinopsis chiloensis,Arbusto suculento,lenosa,endemica,False,Echinopsis chiloensis,False
Echinopsis coquimbana,echinopsis coquimbana,Arbusto suculento,lenosa,endemica,False,Echinopsis coquimbana,False
Echinopsis deserticola,echinopsis deserticola,Arbusto suculento,lenosa,endemica,False,Echinopsis deserticola,False
Echinopsis ferox,echinopsis ferox,Subarbusto suculento,lenosa,nativa,False,Echinopsis ferox,False
Echinopsis formosa,echinopsis formosa,Arbusto suculento,lenosa,nativa,False,Echinopsis formosa,False
Echinopsis glauca,echinopsis glauca,Arbusto suculento,lenosa,endemica,False,Echinopsis glauca,False
Echinopsis nigripilis,echinopsis nigripilis,Arbusto suculento,lenosa,endemica,False,Echinopsis nigripilis,False
Echinopsis skottsbergii,echinopsis skottsbergii,Arbusto suculento,lenosa,endemica,False,Echinopsis skottsbergii,False
Eriosyce aspillagae,eriosyce aspillagae,Subarbusto suculento,lenosa,endemica,False,Eriosyce aspillagae,False
Eriosyce aurata,eriosyce aurata,Arbusto suculento,lenosa,endemica,False,Eriosyce aurata,False
Eriosyce caligophila,eriosyce caligophila,Subarbusto suculento,lenosa,endemica,False,Eriosyce caligophila,False
Eriosyce chilensis,eriosyce chilensis,Arbusto suculento,lenosa,endemica,False,Eriosyce chilensis,False
Eriosyce confinis,eriosyce confinis,Subarbusto suculento,lenosa,endemica,False,Eriosyce confinis,False
Eriosyce crispa,eriosyce crispa,Arbusto suculento,lenosa,endemica,False,Eriosyce crispa,False
Eriosyce curvispina,eriosyce curvispina,Arbusto suculento,lenosa,endemica,False,Eriosyce curvispina,False
Eriosyce engleri,eriosyce engleri,Arbusto suculento,lenosa,endemica,False,Eriosyce engleri,False
Eriosyce eriosyzoides,eriosyce eriosyzoides,Arbusto suculento,lenosa,endemica,False,Eriosyce eriosyzoides,False
Eriosyce esmeraldana,eriosyce esmeraldana,Subarbusto suculento,lenosa,endemica,False,Eriosyce esmeraldana,False
Eriosyce garaventae,eriosyce garaventae,Arbusto suculento,lenosa,endemica,False,Eriosyce garaventae,False
Eriosyce heinrichiana,eriosyce heinrichiana,Subarbusto suculento,lenosa,endemica,False,Eriosyce heinrichiana,False
Eriosyce islayensis,eriosyce islayensis,Arbusto suculento,lenosa,nativa,False,Eriosyce islayensis,False
Eriosyce krausii,eriosyce krausii,Arbusto suculento,lenosa,endemica,False,Eriosyce krausii,False
Eriosyce ihotzkyana,eriosyce ihotzkyana,Arbusto suculento,lenosa,endemica,False,Eriosyce ihotzkyana,False
Eriosyce iquiquensis,eriosyce iquiquensis,Arbusto suculento,lenosa,endemica,False,Eriosyce iquiquensis,False
Eriosyce megacarpa,eriosyce megacarpa,Subarbusto suculento,lenosa,endemica,False,Eriosyce megacarpa,False
Eriosyce napina,eriosyce napina,Subarbusto suculento,lenosa,endemica,False,Eriosyce napina,False
Eriosyce occulta,eriosyce occulta,Subarbusto suculento,lenosa,endemica,False,Eriosyce occulta,False
Eriosyce odieri,eriosyce odieri,Subarbusto suculento,lenosa,endemica,False,Eriosyce odieri,False
Eriosyce paucicostata,eriosyce paucicostata,Arbusto suculento,lenosa,endemica,False,Eriosyce paucicostata,False
Eriosyce recondita,eriosyce recondita,Subarbusto suculento,lenosa,endemica,False,Eriosyce recondita,False
Eriosyce rodentiophila,eriosyce rodentiophila,Arbusto suculento,lenosa,endemica,False,Eriosyce rodentiophila,False
Eriosyce senilis,eriosyce senilis,Arbusto suculento,lenosa,endemica,False,Eriosyce senilis,False
Eriosyce simulans,eriosyce simulans,Arbusto suculento,lenosa,endemica,False,Eriosyce simulans,False
Eriosyce sociabilis,eriosyce sociabilis,Arbusto suculento,lenosa,endemica,False,Eriosyce sociabilis,False
Eriosyce subgibbosa,eriosyce subgibbosa,Arbusto suculento,lenosa,endemica,False,Eriosyce subgibbosa,False
Eriosyce taltalensis,eriosyce taltalensis,Arbusto suculento,lenosa,endemica,False,Eriosyce taltalensis,False
Eriosyce tenebrica,eriosyce tenebrica,Subarbusto suculento,lenosa,endemica,False,Eriosyce tenebrica,False
Eriosyce villosa,eriosyce villosa,Arbusto suculento,lenosa,endemica,False,Eriosyce villosa,False
Eulychnia aricensis,eulychnia aricensis,Árbol suculento,lenosa,endemica,False,Eulychnia aricensis,False
Eulychnia breviflora,eulychnia breviflora,Árbol suculento,lenosa,endemica,False,Eulychnia breviflora,False
Eulychnia castanea,eulychnia castanea,Arbusto suculento,lenosa,endemica,False,Eulychnia castanea,False
Eulychnia iquiquensis,eulychnia iquiquensis,Árbol suculento,lenosa,endemica,False,Eulychnia iquiquensis,False
Eulychnia saint-pieana,eulychnia saint-pieana,Árbol suculento,lenosa,endemica,False,Eulychnia saint-pieana,False
Maihueniopsis archiconoidea,maihueniopsis archiconoidea,Subarbusto suculento,lenosa,endemica,False,Maihueniopsis archiconoidea,False
Maihueniopsis atacamensis,maihueniopsis atacamensis,Subarbusto suculento,lenosa,endemica,False,Maihueniopsis atacamensis,False
Haageocereus australis,haageocereus australis,Arbusto suculento,lenosa,endemica,False,Haageocereus australis,False
Haageocereus fascicularis,haageocereus fascicularis,Arbusto suculento,lenosa,endemica,False,Haageocereus fascicularis,False
Maihuenia patagonica,maihuenia patagonica,Subarbusto suculento,lenosa,nativa,False,Maihuenia patagonica,False
Maihuenia poeppigii,maihuenia poeppigii,Subarbusto suculento,lenosa,nativa,False,Maihuenia poeppigii,False
Maihueniopsis crassispina,maihueniopsis crassispina,Subarbusto suculento,lenosa,endemica,False,Maihueniopsis crassispina,False
Maihueniopsis darwinii,maihueniopsis darwinii,Subarbusto suculento,lenosa,nativa,False,Maihueniopsis darwinii,False
Maihueniopsis domeykoensis,maihueniopsis domeykoensis,Subarbusto suculento,lenosa,endemica,False,Maihueniopsis domeykoensis,False
Maihueniopsis glomerata,maihueniopsis glomerata,Subarbusto suculento,lenosa,nativa,False,Maihueniopsis glomerata,False
Maihueniopsis grandiflora,maihueniopsis grandiflora,Subarbusto suculento,lenosa,endemica,False,Maihueniopsis grandiflora,False
Maihueniopsis nigrispina,maihueniopsis nigrispina,Subarbusto suculento,lenosa,nativa,False,Maihueniopsis nigrispina,False
Maihueniopsis ovata,maihueniopsis ovata,Subarbusto suculento,lenosa,nativa,False,Maihueniopsis ovata,False
Maihueniopsis rahmeri,maihueniopsis rahmeri,Subarbusto suculento,lenosa,endemica,False,Maihueniopsis rahmeri,False
Maihueniopsis wagenknechtii,maihueniopsis wagenknechtii,Subarbusto suculento,lenosa,endemica,False,Maihueniopsis wagenknechtii,False
Neowerdermannia chilensis,neowerdermannia chilensis,Subarbusto suculento,lenosa,endemica,False,Neowerdermannia chilensis,False
Oreocereus hempelianus,oreocereus hempelianus,Arbusto suculento,lenosa,nativa,False,Oreocereus hempelianus,False
Oreocereus leucotrichus,oreocereus leucotrichus,Arbusto suculento,lenosa,nativa,False,Oreocereus leucotrichus,False
Pterocactus australis,pterocactus australis,Subarbusto suculento,lenosa,nativa,False,Pterocactus australis,False
Pterocactus hickenii,pterocactus hickenii,Subarbusto suculento,lenosa,endemica,False,Pterocactus hickenii,False
Tunilla soehrensii,tunilla soehrensii,Arbusto suculento,lenosa,nativa,False,Tunilla soehrensii,False
Calceolaria aiseniana,calceolaria aiseniana,Hierba,herbacea,endemica,False,Calceolaria aiseniana,False
Calceolaria alba,calceolaria alba,Subarbusto,lenosa,endemica,False,Calceolaria alba,False
Calceolaria andina,calceolaria andina,Subarbusto,lenosa,endemica,False,Calceolaria andina,False
Calceolaria angustifolia,calceolaria angustifolia,Arbusto o subarbusto,lenosa,endemica,False,Calceolaria angustifolia,False
Calceolaria ascendens,calceolaria ascendens,Subarbusto,lenosa,endemica,False,Calceolaria ascendens,False
Calceolaria asperula,calceolaria asperula,Hierba,herbacea,endemica,False,Calceolaria asperula,False
Calceolaria arachnoidea,calceolaria arachnoidea,Hierba,herbacea,endemica,False,Calceolaria arachnoidea,False
Calceolaria biflora,calceolaria biflora,Hierba,herbacea,nativa,False,Calceolaria biflora,False
Calceolaria caleuana,calceolaria caleuana,Hierba,herbacea,endemica,False,Calceolaria caleuana,False
Calceolaria campanae,calceolaria campanae,Hierba,herbacea,endemica,False,Calceolaria campanae,False
Calceolaria cana,calceolaria cana,Hierba,herbacea,endemica,False,Calceolaria cana,False
Calceolaria cavanillesii,calceolaria cavanillesii,Hierba,herbacea,nativa,False,Calceolaria cavanillesii,False
Calceolaria collina,calceolaria collina,Arbusto o subarbusto,lenosa,endemica,False,Calceolaria collina,False
Calceolaria corymbosa,calceolaria corymbosa,Hierba,herbacea,nativa,False,Calceolaria corymbosa,True
Calceolaria crenatiflora,calceolaria crenatiflora,Hierba,herbacea,nativa,False,Calceolaria crenatiflora,False
Calceolaria densifolia,calceolaria densifolia,Subarbusto,lenosa,endemica,False,Calceolaria densifolia,False
Calceolaria dentata,calceolaria dentata,Hierba,herbacea,nativa,False,Calceolaria dentata,True
Calceolaria georgiana,calceolaria georgiana,Arbusto o subarbusto,lenosa,endemica,False,Calceolaria georgiana,False
Calceolaria germainii,calceolaria germainii,Hierba,herbacea,nativa,False,Calceolaria germainii,False
Calceolaria glandulosa,calceolaria glandulosa,Hierba,herbacea,endemica,False,Calceolaria glandulosa,False
Calceolaria hypericina,calceolaria hypericina,Arbusto o subarbusto,lenosa,endemica,False,Calceolaria hypericina,False
Calceolaria filicaulis,calceolaria filicaulis,Hierba,herbacea,nativa,False,Calceolaria filicaulis,False
Calceolaria inamoena,calceolaria inamoena,Arbusto o subarbusto,lenosa,nativa,False,Calceolaria inamoena,False
Calceolaria flavovirens,calceolaria flavovirens,Arbusto o subarbusto,lenosa,endemica,False,Calceolaria flavovirens,False
Calceolaria integrifolia,calceolaria integrifolia,Arbusto o subarbusto,lenosa,nativa,False,Calceolaria integrifolia,False
Calceolaria lanigera,calceolaria lanigera,Hierba,herbacea,endemica,False,Calceolaria lanigera,False
Calceolaria latifolia,calceolaria latifolia,Hierba,herbacea,endemica,False,Calceolaria latifolia,False
Calceolaria lepida,calceolaria lepida,Subarbusto,lenosa,endemica,False,Calceolaria lepida,False
Calceolaria nudicaulis,calceolaria nudicaulis,Hierba,herbacea,endemica,False,Calceolaria nudicaulis,False
Calceolaria pallida,calceolaria pallida,Arbusto o subarbusto,lenosa,endemica,False,Calceolaria pallida,False
Calceolaria meyeniana,calceolaria meyeniana,Arbusto o subarbusto,lenosa,endemica,False,Calceolaria meyeniana,False
Calceolaria morisii,calceolaria morisii,Arbusto o subarbusto,lenosa,endemica,False,Calceolaria morisii,False
Calceolaria nitida,calceolaria nitida,Subarbusto,lenosa,endemica,False,Calceolaria nitida,False
Calceolaria paposana,calceolaria paposana,Subarbusto,lenosa,endemica,False,Calceolaria paposana,False
Calceolaria paralia,calceolaria paralia,Hierba,herbacea,endemica,False,Calceolaria paralia,False
Calceolaria petioalaris,calceolaria petioalaris,Hierba,herbacea,endemica,False,Calceolaria petioalaris,False
Calceolaria philippii,calceolaria philippii,Subarbusto,lenosa,endemica,False,Calceolaria philippii,False
Calceolaria picta,calceolaria picta,Hierba,herbacea,endemica,False,Calceolaria picta,False
Calceolaria pinifolia,calceolaria pinifolia,Hierba,herbacea,nativa,False,Calceolaria pinifolia,False
Calceolaria pinnata,calceolaria pinnata,Hierba,herbacea,nativa,False,Calceolaria pinnata,False
Calceolaria poikilanthes,calceolaria poikilanthes,Hierba,herbacea,nativa,False,Calceolaria poikilanthes,False
Calceolaria polifolia,calceolaria polifolia,Arbusto o subarbusto,lenosa,endemica,False,Calceolaria polifolia,False
Calceolaria polyrrhiza,calceolaria polyrrhiza,Hierba,herbacea,nativa,False,Calceolaria polyrrhiza,False
Calceolaria purpurea,calceolaria purpurea,Hierba,herbacea,endemica,False,Calceolaria purpurea,False
Calceolaria talcana,calceolaria talcana,Arbusto o subarbusto,lenosa,endemica,False,Calceolaria talcana,False
Calceolaria tenella,calceolaria tenella,Hierba,herbacea,nativa,False,Calceolaria tenella,False
Calceolaria thyrsiflora,calceolaria thyrsiflora,Arbusto o subarbusto,lenosa,endemica,False,Calceolaria thyrsiflora,False
Calceolaria tripartita,calceolaria tripartita,Hierba,herbacea,nativa,False,Calceolaria tripartita,False
Calceolaria rinconada,calceolaria rinconada,Subarbusto,lenosa,endemica,False,Calceolaria rinconada,False
Calceolaria rubiginosa,calceolaria rubiginosa,Subarbusto,lenosa,endemica,False,Calceolaria rubiginosa,False
Calceolaria segethii,calceolaria segethii,Subarbusto,lenosa,endemica,False,Calceolaria segethii,False
Calceolaria spathulata,calceolaria spathulata,Hierba,herbacea,endemica,False,Calceolaria spathulata,False
Calceolaria uniflora,calceolaria uniflora,Hierba,herbacea,nativa,False,Calceolaria uniflora,False
Calceolaria valdiviana,calceolaria valdiviana,Hierba,herbacea,endemica,False,Calceolaria valdiviana,False
Jovellana punctata,jovellana punctata,Arbusto,lenosa,endemica,False,Jovellana punctata,False
Calceolaria verbascifolia,calceolaria verbascifolia,Arbusto o subarbusto,lenosa,endemica,False,Calceolaria verbascifolia,False
Calceolaria viscosissima,calceolaria viscosissima,Subarbusto,lenosa,endemica,False,Calceolaria viscosissima,False
Calceolaria volckmannii,calceolaria volckmannii,Hierba,herbacea,nativa,False,Calceolaria volckmannii,False
Boopis gracilis,boopis gracilis,Hierba,herbacea,nativa,False,Boopis gracilis,False
Calceolaria williamsii,calceolaria williamsii,Hierba,herbacea,endemica,False,Calceolaria williamsii,False
Jovellana guentheri,jovellana guentheri,Hierba,herbacea,endemica,False,Jovellana guentheri,False
Boopis multicaulis,boopis multicaulis,Hierba,herbacea,nativa,False,Boopis multicaulis,False
Boopis patagonica,boopis patagonica,Hierba,herbacea,nativa,False,Boopis patagonica,False
Boopis pusilla,boopis pusilla,Hierba,herbacea,endemica,False,Boopis pusilla,False
Calycera eryngioides,calycera eryngioides,Hierba,herbacea,endemica,False,Calycera eryngioides,False
Calycera herbacea,calycera herbacea,Hierba,herbacea,endemica,False,Calycera herbacea,False
Calycera sympaganthera,calycera sympaganthera,Hierba,herbacea,endemica,False,Calycera sympaganthera,False
Gamocarpha alpina,gamocarpha alpina,Hierba,herbacea,nativa,False,Gamocarpha alpina,False
Gamocarpha dentata,gamocarpha dentata,Hierba,herbacea,nativa,False,Gamocarpha dentata,False
Gamocarpha gilliesii,gamocarpha gilliesii,Hierba,herbacea,nativa,False,Gamocarpha gilliesii,False
Calycera leucanthema,calycera leucanthema,Hierba,herbacea,endemica,False,Calycera leucanthema,False
Calycera sessiliflora,calycera sessiliflora,Hierba,herbacea,endemica,False,Calycera sessiliflora,False
Gamocarpha pumila,gamocarpha pumila,Hierba,herbacea,endemica,False,Gamocarpha pumila,False
Gamocarpha selliana,gamocarpha selliana,Hierba,herbacea,nativa,False,Gamocarpha selliana,False
Moschopsis leyboldii,moschopsis leyboldii,Hierba,herbacea,nativa,False,Moschopsis leyboldii,False
Moschopsis monocephala,moschopsis monocephala,Hierba,herbacea,nativa,False,Moschopsis monocephala,False
Moschopsis rosulata,moschopsis rosulata,Hierba,herbacea,nativa,False,Moschopsis rosulata,False
Moschopsis subandina,moschopsis subandina,Hierba,herbacea,nativa,False,Moschopsis subandina,False
Moschopsis trilobata,moschopsis trilobata,Hierba,herbacea,nativa,False,Moschopsis trilobata,False
Nastanthus scapigerus,nastanthus scapigerus,Hierba,herbacea,nativa,False,Nastanthus scapigerus,False
Nastanthus ventosus,nastanthus ventosus,Hierba,herbacea,nativa,False,Nastanthus ventosus,False
Nastanthus caespitosus,nastanthus caespitosus,Hierba,herbacea,endemica,False,Nastanthus caespitosus,False
Nastanthus compactus,nastanthus compactus,Hierba,herbacea,nativa,False,Nastanthus compactus,False
Campanula rapunculoides,campanula rapunculoides,Hierba,herbacea,introducida,False,Campanula rapunculoides,False
Cyphocarpus innocuus,cyphocarpus innocuus,Hierba,herbacea,endemica,False,Cyphocarpus innocuus,False
Cyphocarpus psammophilus,cyphocarpus psammophilus,Hierba,herbacea,endemica,False,Cyphocarpus psammophilus,False
Cyphocarpus rigescens,cyphocarpus rigescens,Hierba,herbacea,endemica,False,Cyphocarpus rigescens,False
Downingia pusilla,downingia pusilla,Hierba,herbacea,nativa,False,Downingia pusilla,False
Legenere valdiviana,legenere valdiviana,Hierba,herbacea,nativa,False,Legenere valdiviana,False
Lobelia anceps,lobelia anceps,Hierba,herbacea,introducida,False,Lobelia anceps,False
Lobelia bridgesii,lobelia bridgesii,Subarbusto,lenosa,endemica,False,Lobelia bridgesii,False
Lobelia excelsa,lobelia excelsa,Arbusto,lenosa,endemica,False,Lobelia excelsa,False
Lobelia oligophylla,lobelia oligophylla,Hierba,herbacea,nativa,False,Lobelia oligophylla,False
Lobelia polyphylla,lobelia polyphylla,Arbusto,lenosa,endemica,False,Lobelia polyphylla,False
Lobelia tupa,lobelia tupa,Hierba,herbacea,endemica,False,Lobelia tupa,False
Wahlenbergia berteroi,wahlenbergia berteroi,Subarbusto,lenosa,endemica,False,Wahlenbergia berteroi,False
Wahlenbergia fernandeziana,wahlenbergia fernandeziana,Arbusto o subarbusto,lenosa,endemica,False,Wahlenbergia fernandeziana,False
Wahlenbergia grahamae,wahlenbergia grahamae,Subarbusto,lenosa,endemica,False,Wahlenbergia grahamae,False
Wahlenbergia linarioides,wahlenbergia linarioides,Hierba,herbacea,nativa,False,Wahlenbergia linarioides,False
Wahlenbergia masafuerae,wahlenbergia masafuerae,Subarbusto,lenosa,endemica,False,Wahlenbergia masafuerae,False
Wahlenbergia tuberosa,wahlenbergia tuberosa,Subarbusto,lenosa,nativa,False,Wahlenbergia tuberosa,False
Centranthus ruber,centranthus ruber,Hierba,herbacea,introducida,False,Centranthus ruber,False
Dipsacus sativus,dipsacus sativus,Hierba,herbacea,introducida,False,Dipsacus sativus,False
Knautia integrifolia,knautia integrifolia,Hierba,herbacea,introducida,False,Knautia integrifolia,False
Sambucus nigra,sambucus nigra,Arbusto o árbol pequeño,lenosa,introducida,False,Sambucus nigra,False
Scabiosa atropurpurea,scabiosa atropurpurea,Hierba o subarbusto,ambiguo,introducida,False,Scabiosa atropurpurea,False
Stangea paulae,stangea paulae,Hierba,herbacea,nativa,False,Stangea paulae,False
Valeriana aequiloba,valeriana aequiloba,Hierba,herbacea,endemica,False,Valeriana aequiloba,False
Valeriana boelckei,valeriana boelckei,Hierba,herbacea,nativa,False,Valeriana boelckei,False
Valeriana bracteosa,valeriana bracteosa,Hierba,herbacea,endemica,False,Valeriana bracteosa,False
Valeriana bridgesii,valeriana bridgesii,Hierba,herbacea,endemica,False,Valeriana bridgesii,False
Valeriana carnosa,valeriana carnosa,Hierba,herbacea,nativa,False,Valeriana carnosa,False
Valeriana castellanosii,valeriana castellanosii,Hierba,herbacea,nativa,False,Valeriana castellanosii,False
Valeriana chilensis,valeriana chilensis,Hierba,herbacea,nativa,False,Valeriana chilensis,False
Valeriana clarionifolia,valeriana clarionifolia,Hierba,herbacea,nativa,False,Valeriana clarionifolia,False
Valeriana atacamensis,valeriana atacamensis,Hierba,herbacea,endemica,False,Valeriana atacamensis,False
Valeriana fonckii,valeriana fonckii,Hierba,herbacea,nativa,False,Valeriana fonckii,False
Valeriana fragilis,valeriana fragilis,Hierba,herbacea,endemica,False,Valeriana fragilis,False
Valeriana graciliceps,valeriana graciliceps,Arbusto,lenosa,endemica,False,Valeriana graciliceps,False
Valeriana grandifolia,valeriana grandifolia,Hierba,herbacea,endemica,False,Valeriana grandifolia,False
Valeriana hebecarpa,valeriana hebecarpa,Hierba,herbacea,nativa,False,Valeriana hebecarpa,False
Valeriana lapathifolia,valeriana lapathifolia,Hierba,herbacea,nativa,False,Valeriana lapathifolia,False
Valeriana laxiflora,valeriana laxiflora,Hierba,herbacea,nativa,False,Valeriana laxiflora,False
Valeriana lepidota,valeriana lepidota,Hierba,herbacea,endemica,False,Valeriana lepidota,False
Valeriana leucocarpa,valeriana leucocarpa,Hierba,herbacea,nativa,False,Valeriana leucocarpa,False
Valeriana hornschuchiana,valeriana hornschuchiana,Hierba,herbacea,nativa,False,Valeriana hornschuchiana,False
Valeriana hyalinorrhiza,valeriana hyalinorrhiza,Hierba,herbacea,nativa,False,Valeriana hyalinorrhiza,False
Valeriana interrupta,valeriana interrupta,Hierba,herbacea,nativa,False,Valeriana interrupta,False
Valeriana moyanoi,valeriana moyanoi,Hierba,herbacea,nativa,False,Valeriana moyanoi,False
Valeriana nivalis,valeriana nivalis,Hierba,herbacea,nativa,False,Valeriana nivalis,False
Valeriana obtusifolia,valeriana obtusifolia,Hierba,herbacea,endemica,False,Valeriana obtusifolia,False
Valeriana papilla,valeriana papilla,Hierba,herbacea,endemica,False,Valeriana papilla,False
Valeriana peltata,valeriana peltata,Hierba,herbacea,endemica,False,Valeriana peltata,False
Valeriana radicalis,valeriana radicalis,Hierba,herbacea,endemica,False,Valeriana radicalis,False
Valeriana samolifolia,valeriana samolifolia,Hierba,herbacea,nativa,False,Valeriana samolifolia,False
Valeriana sedifolia,valeriana sedifolia,Hierba,herbacea,nativa,False,Valeriana sedifolia,False
Valeriana petersenii,valeriana petersenii,Hierba,herbacea,nativa,False,Valeriana petersenii,False
Valeriana philippiana,valeriana philippiana,Hierba,herbacea,nativa,False,Valeriana philippiana,False
Valeriana polemoniifolia,valeriana polemoniifolia,Hierba,herbacea,endemica,False,Valeriana polemoniifolia,False
Valeriana sphaerocarpa,valeriana sphaerocarpa,Hierba,herbacea,endemica,False,Valeriana sphaerocarpa,False
Valeriana stricta,valeriana stricta,Subarbusto,lenosa,nativa,False,Valeriana stricta,False
Valeriana urbanii,valeriana urbanii,Hierba,herbacea,nativa,False,Valeriana urbanii,False
Valeriana pycnantha,valeriana pycnantha,Hierba,herbacea,nativa,False,Valeriana pycnantha,False
Valeriana vaga,valeriana vaga,Hierba,herbacea,endemica,False,Valeriana vaga,False
Valeriana valdiviana,valeriana valdiviana,Hierba,herbacea,endemica,False,Valeriana valdiviana,False
Valeriana velutina,valeriana velutina,Hierba,herbacea,endemica,False,Valeriana velutina,False
Valeriana verticillata,valeriana verticillata,Hierba,herbacea,endemica,False,Valeriana verticillata,False
Valeriana virescens,valeriana virescens,Hierba,herbacea,nativa,False,Valeriana virescens,False
Valerianella eriocarpa,valerianella eriocarpa,Hierba,herbacea,introducida,False,Valerianella eriocarpa,False
Valerianella locusta,valerianella locusta,Hierba,herbacea,introducida,False,Valerianella locusta,False
Valerianella rimosa,valerianella rimosa,Hierba,herbacea,introducida,False,Valerianella rimosa,False
Carica chilensis,carica chilensis,Arbusto,lenosa,endemica,False,Carica chilensis,False
Agrostemma githago,agrostemma githago,Hierba,herbacea,introducida,False,Agrostemma githago,False
Arenaria digyna,arenaria digyna,Hierba,herbacea,nativa,False,Arenaria digyna,False
Arenaria fastigiata,arenaria fastigiata,Hierba,herbacea,endemica,False,Arenaria fastigiata,False
Arenaria oligosperma,arenaria oligosperma,Hierba,herbacea,endemica,False,Arenaria oligosperma,False
Arenaria pleurantha,arenaria pleurantha,Hierba,herbacea,endemica,False,Arenaria pleurantha,False
Arenaria rivularis,arenaria rivularis,Hierba,herbacea,nativa,False,Arenaria rivularis,False
Arenaria serpens,arenaria serpens,Hierba,herbacea,nativa,False,Arenaria serpens,False
