species,family,becerra,parcelas_cl_resto,living_trees,n_parcelas,en_conteos,forma,fuente,motivo
Lysimachia foemina,Primulaceae,0,4,0,4,False,herbacea,genero,
Carduus pycnocephalus,Asteraceae,0,4,0,4,False,herbacea,especie,
Bowlesia uncinata,Apiaceae,4,0,0,4,True,herbacea,especie,
Jubaea chilensis,Arecaceae,0,1,3,4,True,lenosa,especie,
Psilocarphus tenellus,Asteraceae,4,0,0,4,True,herbacea,especie,
Mirabilis prostrata,Nyctaginaceae,4,0,0,4,True,herbacea,especie,
Baccharis macraei,Asteraceae,0,4,0,4,True,lenosa,especie,
Carex multifaria,Cyperaceae,0,4,0,4,False,herbacea,genero,
Hypochaeris,,0,4,0,4,False,herbacea,genero,
Calceolaria corymbosa,Calceolariaceae,0,4,0,4,False,herbacea,especie,
Herreria stellata,Asparagaceae,0,4,0,4,False,herbacea,especie,
Agrostis stolonifera,Poaceae,0,4,0,4,False,herbacea,especie,
Alstroemeria aurea,Alstroemeriaceae,0,4,0,4,False,herbacea,especie,
Baccharis poeppigiana,Asteraceae,0,4,0,4,True,lenosa,especie,
Calceolaria angustifolia,Calceolariaceae,0,4,0,4,False,lenosa,especie,
Tristerix aphyllus,Loranthaceae,0,4,0,4,False,lenosa,especie,
Baccharis racemosa,Asteraceae,0,4,0,4,False,lenosa,especie,
Mutisia latifolia,Asteraceae,0,4,0,4,False,lenosa,especie,
Proustia ilicifolia,Asteraceae,0,4,0,4,True,lenosa,especie,
Orchidaceae,,0,3,0,3,False,,,
Chiropetalum berteroanum,Euphorbiaceae,0,3,0,3,False,lenosa,genero,
Gochnatia foliolosa var. foliolosa,,0,3,0,3,False,lenosa,especie,
Viviania marifolia,Francoaceae,0,3,0,3,True,lenosa,especie,
Adiantum chilense var. scabrum,,0,3,0,3,False,herbacea,especie,
Adiantum chilense,Pteridaceae,0,3,0,3,False,herbacea,especie,
Carex berteroniana,Cyperaceae,3,0,0,3,True,herbacea,especie,
Jovellana violacea,Calceolariaceae,0,3,0,3,False,,,
Adesmia pedicellata,Fabaceae,3,0,0,3,True,herbacea,manual,anual; congenere de A. tenella en las mismas parcelas
Adesmia pirionii,Fabaceae,0,3,0,3,False,lenosa,especie,
Calceolaria collina,Calceolariaceae,0,3,0,3,False,lenosa,especie,
Haplopappus glutinosus,Asteraceae,1,2,0,3,True,lenosa,especie,
Centaurium cachanlahuen,Gentianaceae,0,3,0,3,False,herbacea,especie,
Salix humboldtiana,Salicaceae,0,3,0,3,True,lenosa,especie,
Gomortega keule,Gomortegaceae,0,3,0,3,True,lenosa,especie,
Baccharis concava,Asteraceae,0,3,0,3,False,lenosa,especie,
Spinoliva ilicifolia,Asteraceae,0,3,0,3,False,lenosa,especie,
Galium suffruticosum,Rubiaceae,0,3,0,3,False,lenosa,especie,
Gaultheria poeppigii,Ericaceae,0,3,0,3,False,lenosa,especie,
Oxalis,,0,3,0,3,False,,,
Adenopeltis serrata,Euphorbiaceae,0,3,0,3,False,lenosa,especie,
Sanguisorba minor,Rosaceae,0,3,0,3,False,,,
Adesmia resinosa,Fabaceae,0,3,0,3,False,lenosa,especie,
Crataegus monogyna,Rosaceae,0,3,0,3,False,,,
Puya chilensis,Bromeliaceae,0,3,0,3,False,herbacea,especie,
Oxalis laxa,Oxalidaceae,3,0,0,3,True,herbacea,especie,
Cryptantha linearis,Boraginaceae,3,0,0,3,True,herbacea,especie,
Schinus molle,Anacardiaceae,0,2,1,3,True,lenosa,especie,
Stipa,,0,3,0,3,False,herbacea,genero,
Festuca acanthophylla var. scabriuscula,,0,3,0,3,False,herbacea,especie,
Chaetanthera moenchioides,Asteraceae,3,0,0,3,True,herbacea,especie,
Petrorhagia dubia,Caryophyllaceae,0,3,0,3,False,herbacea,especie,
Azara lanceolata,Salicaceae,0,3,0,3,False,lenosa,especie,
Acrisione denticulata,Asteraceae,0,3,0,3,False,lenosa,especie,
Dioscorea,,0,3,0,3,False,herbacea,genero,
Festuca bromoides,Poaceae,0,3,0,3,False,herbacea,genero,
Escallonia rubra,Escalloniaceae,0,3,0,3,False,lenosa,especie,
Piptochaetium montevidense,Poaceae,0,3,0,3,False,herbacea,especie,
Prunella vulgaris,Lamiaceae,0,3,0,3,False,,,
Pitavia punctata,Rutaceae,0,2,1,3,True,lenosa,especie,
Senecio farinifer,Asteraceae,0,3,0,3,False,lenosa,especie,
Microphyes minima,Caryophyllaceae,3,0,0,3,True,herbacea,especie,
Senecio sylvaticus,Asteraceae,0,3,0,3,False,herbacea,especie,
Phycella amoena,Amaryllidaceae,3,0,0,3,True,herbacea,genero,
Discaria articulata,Rhamnaceae,0,3,0,3,True,lenosa,especie,
Holcus lanatus,Poaceae,0,2,0,2,False,herbacea,especie,
Berberis empetrifolia,Berberidaceae,0,2,0,2,True,lenosa,especie,
Rostraria cristata,Poaceae,2,0,0,2,True,herbacea,especie,
Escallonia myrtoidea,Escalloniaceae,0,2,0,2,False,lenosa,especie,
Calceolaria,,0,2,0,2,False,,,
Rosa,,0,2,0,2,False,lenosa,genero,
Corrigiola squamosa,Caryophyllaceae,2,0,0,2,True,herbacea,especie,
Hesperocyparis macrocarpa,,0,2,0,2,False,,,
Crocosmia x crocosmiiflora,,0,2,0,2,False,herbacea,especie,
Lactuca serriola,Asteraceae,0,2,0,2,False,herbacea,especie,
Festuca monticola,Poaceae,0,2,0,2,False,herbacea,especie,
Libertia sessiliflora,Iridaceae,0,2,0,2,False,herbacea,especie,
Danthonia,,0,2,0,2,False,herbacea,genero,
Margyricarpus pinnatus,Rosaceae,0,2,0,2,False,lenosa,especie,
Gamochaeta americana,Asteraceae,0,2,0,2,False,herbacea,especie,
Gayella valparadisaea,Sapotaceae,0,2,0,2,False,lenosa,especie,
Haplopappus coquimbensis,Asteraceae,0,2,0,2,True,lenosa,especie,
Discaria chacaye,Rhamnaceae,0,2,0,2,False,lenosa,especie,
Senecio anthemidiphyllus,Asteraceae,0,2,0,2,False,,,
Descurainia nuttallii,Brassicaceae,2,0,0,2,True,herbacea,genero,
Hydrangea serratifolia,Hydrangeaceae,0,2,0,2,False,lenosa,especie,
Escallonia leucantha,Escalloniaceae,0,2,0,2,False,lenosa,genero,
Sisyrinchium graminifolium,Iridaceae,1,1,0,2,True,herbacea,especie,
Loasa multifida,Loasaceae,2,0,0,2,True,herbacea,especie,
Eryngium paniculatum,Apiaceae,0,2,0,2,False,herbacea,especie,
Lobelia tupa,Campanulaceae,0,2,0,2,False,herbacea,especie,
Malesherbia humilis,Passifloraceae,2,0,0,2,True,herbacea,especie,
Linum bienne,Linaceae,0,2,0,2,False,herbacea,especie,
Berberis microphylla,Berberidaceae,0,2,0,2,False,lenosa,especie,
