"species","genus","family","status"
"Calendula arvensis","Calendula","Asteraceae","prune"
"Camissonia dentata","Camissonia","Onagraceae","prune"
"Cardionema ramosissimum","Cardionema","Caryophyllaceae","prune"
"Carex berteroniana","Carex","Cyperaceae","bind"
"Chaetanthera frayjorgensis","Chaetanthera","Asteraceae","bind"
"Chaetanthera linearis","Chaetanthera","Asteraceae","bind"
"Chaetanthera moenchioides","Chaetanthera","Asteraceae","prune"
"Hemionitis hypoleuca","Hemionitis","Pteridaceae","bind"
"Hemionitis mollis","Hemionitis","Pteridaceae","bind"
"Chorizanthe gajardoi","Chorizanthe","Polygonaceae","bind"
"Cistanthe arenaria","Cistanthe","Montiaceae","prune"
"Cistanthe grandiflora","Cistanthe","Montiaceae","prune"
"Clarkia tenella","Clarkia","Onagraceae","bind"
"Conanthera campanulata","Conanthera","Tecophilaeaceae","prune"
"Corrigiola crassifolia","Corrigiola","Caryophyllaceae","bind"
"Corrigiola squamosa","Corrigiola","Caryophyllaceae","bind"
"Cristaria dissecta","Cristaria","Malvaceae","bind"
"Cryptantha clandestina","Cryptantha","Boraginaceae","prune"
"Cryptantha linearis","Cryptantha","Boraginaceae","prune"
"Cuscuta micrantha","Cuscuta","Convolvulaceae","bind"
"Descurainia nuttallii","Descurainia","Brassicaceae","bind"
"Dioscorea humifusa","Dioscorea","Dioscoreaceae","prune"
"Dioscorea variifolia","Dioscorea","Dioscoreaceae","prune"
"Dioscorea volckmannii","Dioscorea","Dioscoreaceae","bind"
"Erodium botrys","Erodium","Geraniaceae","prune"
"Erodium cicutarium","Erodium","Geraniaceae","prune"
"Fumaria parviflora","Fumaria","Papaveraceae","prune"
"Gamochaeta oligantha","Gamochaeta","Asteraceae","bind"
"Gilia valdiviensis","Gilia","Polemoniaceae","prune"
"Verbena landbeckii","Verbena","Verbenaceae","bind"
"Helenium aromaticum","Helenium","Asteraceae","bind"
"Herniaria cinerea","Herniaria","Caryophyllaceae","bind"
"Homalocarpus dichotomus","Homalocarpus","Apiaceae","prune"
"Stipa plumosa","Stipa","Poaceae","bind"
"Lastarriaea chilensis","Lastarriaea","Polygonaceae","bind"
"Leptosiphon pusillus","Leptosiphon","Polemoniaceae","bind"
"Leucheria oligocephala","Leucheria","Asteraceae","bind"
"Leucocoryne coquimbensis","Leucocoryne","Amaryllidaceae","prune"
"Leucocoryne ixioides","Leucocoryne","Amaryllidaceae","prune"
"Loasa multifida","Loasa","Loasaceae","bind"
"Madia chilensis","Madia","Asteraceae","bind"
"Malesherbia humilis","Malesherbia","Passifloraceae","bind"
"Malva parviflora","Malva","Malvaceae","prune"
"Microphyes minima","Microphyes","Caryophyllaceae","bind"
"Mirabilis prostrata","Mirabilis","Nyctaginaceae","bind"
"Montiopsis cumingii","Montiopsis","Montiaceae","prune"
"Montiopsis ramosissima","Montiopsis","Montiaceae","prune"
"Montiopsis trifida","Montiopsis","Montiaceae","prune"
"Moscharia pinnatifida","Moscharia","Asteraceae","prune"
"Mutisia spectabilis","Mutisia","Asteraceae","bind"
"Nassella pungens","Nassella","Poaceae","bind"
"Olsynium scirpoideum","Olsynium","Iridaceae","prune"
"Oxalis laxa","Oxalis","Oxalidaceae","bind"
"Oxalis corniculata","Oxalis","Oxalidaceae","bind"
"Oziroe arida","Oziroe","Asparagaceae","bind"
"Pectocarya linearis","Pectocarya","Boraginaceae","prune"
"Phycella amoena","Phycella","Amaryllidaceae","bind"
"Phycella scarlatina","Phycella","Amaryllidaceae","bind"
"Plagiobothrys myosotoides","Plagiobothrys","Boraginaceae","prune"
"Plantago hispidula","Plantago","Plantaginaceae","bind"
"Pleurophora polyandra","Pleurophora","Lythraceae","bind"
"Psilocarphus tenellus","Psilocarphus","Asteraceae","bind"
"Quinchamalium chilense","Quinchamalium","Schoepfiaceae","prune"
"Rostraria cristata","Rostraria","Poaceae","prune"
"Schismus arabicus","Schismus","Poaceae","prune"
"Trichopetalum plumosum","Trichopetalum","Asparagaceae","prune"
"Tristagma porrifolium","Tristagma","Amaryllidaceae","bind"
"Tropaeolum azureum","Tropaeolum","Tropaeolaceae","bind"
