"dataset","metric","n","method","value","lo","hi"
"subset del proyecto","filogenetica_PD",854,"Rarefaction",17510.7543022692,16820.1685630365,18017.5537099246
"subset del proyecto","filogenetica_PD",911,"Rarefaction",17705.6834589611,17123.7749265584,18074.5799261276
"subset del proyecto","filogenetica_PD",968,"Rarefaction",17888.8822592845,17425.5476854299,18187.8764150776
"subset del proyecto","filogenetica_PD",1025,"Rarefaction",18061.6898327181,17650.1207830089,18221.6713744776
"subset del proyecto","filogenetica_PD",1082,"Observed",18225.2285412526,18225.2285412526,18225.2285412526
"subset del proyecto","filogenetica_PD",1083,"Extrapolation",18228.0208191948,NA,NA
"subset del proyecto","filogenetica_PD",1139,"Extrapolation",18380.3740262271,NA,NA
"subset del proyecto","filogenetica_PD",1196,"Extrapolation",18527.6234880405,NA,NA
"subset del proyecto","filogenetica_PD",1253,"Extrapolation",18667.3787893819,NA,NA
"subset del proyecto","filogenetica_PD",1310,"Extrapolation",18800.0213404137,NA,NA
"subset del proyecto","filogenetica_PD",1367,"Extrapolation",18925.9131396898,NA,NA
"subset del proyecto","filogenetica_PD",1424,"Extrapolation",19045.3977620956,NA,NA
"subset del proyecto","filogenetica_PD",1481,"Extrapolation",19158.801296508,NA,NA
"subset del proyecto","filogenetica_PD",1538,"Extrapolation",19266.4332357341,NA,NA
"subset del proyecto","filogenetica_PD",1595,"Extrapolation",19368.5873211565,NA,NA
"subset del proyecto","filogenetica_PD",1651,"Extrapolation",19463.8846579557,NA,NA
"subset del proyecto","filogenetica_PD",1708,"Extrapolation",19555.9895885264,NA,NA
"subset del proyecto","filogenetica_PD",1765,"Extrapolation",19643.4069017608,NA,NA
"subset del proyecto","filogenetica_PD",1822,"Extrapolation",19726.3751707314,NA,NA
"subset del proyecto","filogenetica_PD",1879,"Extrapolation",19805.1208264978,NA,NA
"subset del proyecto","filogenetica_PD",1936,"Extrapolation",19879.858776066,NA,NA
"subset del proyecto","filogenetica_PD",1993,"Extrapolation",19950.792988897,NA,NA
"subset del proyecto","filogenetica_PD",2050,"Extrapolation",20018.117053566,NA,NA
"subset del proyecto","filogenetica_PD",2107,"Extrapolation",20082.0147060903,NA,NA
"subset del proyecto","filogenetica_PD",2164,"Extrapolation",20142.6603313684,NA,NA
