run_id,family,features,index,substrate,fusion,model,facet,target,n,seeds,R2,R2_sd,nRMSE,RMSE,Bias,nBias,spearman
C1D01_curve1d_evi,C1D,topo+area,evi,curve1d,late,C1D-B,alpha,hill_q0,1082,3,0.5115634203006266,0.008349884392572698,0.15033771740953153,5.290384275641423,-0.1832521058810548,-0.005207505140126583,0.6815677910868719
C2D07_hilbert_kndvi_wX,C2D,topo+area,kndvi,hilbert,late,C2D-X,alpha,hill_q0,1082,3,0.5097884441752454,0.017321183534793085,0.15059859753480423,5.2995646472497695,0.25519931954937686,0.007252040907910667,0.7110460027248049
C2D02_serpentine_kndvi_patch,C2D,topo+area,kndvi,serpentine,patch,C2D-B,alpha,hill_q0,1082,3,0.5091107527715482,0.029828946648145303,0.1506711900607934,5.302119178239329,-0.17690798973298594,-0.00502722335132099,0.6719038888000256
C2D07_hilbert_kndvi_patchctx,C2D,topo+area,kndvi,hilbert,patchctx,C2D-B,alpha,hill_q0,1082,3,0.5082909286337695,0.014691304469530812,0.15083294864142005,5.307811462691582,-0.23253696290204184,-0.006608041003183896,0.6670530405549474
C2D07_hilbert_kndvi_wC,C2D,topo+area,kndvi,hilbert,late,C2D-C,alpha,hill_q0,1082,3,0.5074337205032805,0.01503783469921674,0.1509638296986291,5.312417167094767,-0.06584705664830792,-0.0018711866055216777,0.6943192559396798
C1D01_curve1d_kndvi,C1D,topo+area,kndvi,curve1d,late,C1D-B,alpha,hill_q0,1082,3,0.5068202452977996,0.018318770141259714,0.15105236124862126,5.3155325923389904,-0.15871166066556144,-0.004510135284613844,0.6662354802311495
C1D01_curve1d_savi,C1D,topo+area,savi,curve1d,late,C1D-B,alpha,hill_q0,1082,3,0.5039753494431959,0.02418332681853489,0.15147499445931922,5.330405055023454,-0.27836959361754215,-0.007910474385266883,0.6790657681956379
C1D01_curve1d_nbr_v2,C1D,topo+area,nbr,curve1d,late,C1D-B,alpha,hill_q0,1082,3,0.5018260338041481,0.020829933879280376,0.151810271122814,5.3422034408118355,-0.28748942170913305,-0.008169634035496804,0.613633933539624
C2D07_hilbert_kndvi_v2,C2D,topo+area,kndvi,hilbert,late,C2D-B,alpha,hill_q0,1082,3,0.5017240134563864,0.008224607028558989,0.15184467662066237,5.343414170281118,-0.2792866611194731,-0.007936534842838098,0.6878202795843769
C2D07_hilbert_kndvi_patch,C2D,topo+area,kndvi,hilbert,patch,C2D-B,alpha,hill_q0,1082,3,0.5011498573324763,0.006248017699256322,0.15193359799265846,5.34654331336166,-0.11138762196641971,-0.003165320317317975,0.6561712046810092
C1D01_curve1d_ndvi_v2,C1D,topo+area,ndvi,curve1d,late,C1D-B,alpha,hill_q0,1082,3,0.50073139151291,0.0036264728815285107,0.15199862973172915,5.348831780259558,-0.1806273988063446,-0.005132918408819104,0.6404912862058368
C2D02_serpentine_kndvi_patchctx,C2D,topo+area,kndvi,serpentine,patchctx,C2D-B,alpha,hill_q0,1082,3,0.49881039268144756,0.00572680470085164,0.15228977482316305,5.359077176027118,-0.05251003880627316,-0.0014921863826732893,0.6705350639023197
C1D01_curve1d_kndvi_v2,C1D,topo+area,kndvi,curve1d,late,C1D-B,alpha,hill_q0,1082,3,0.49867305928562006,0.004984135549850564,0.1523110467471187,5.359825735031116,-0.23766860830567152,-0.0067538678120395304,0.6295420447477927
C1D01_curve1d_savi_v2,C1D,topo+area,savi,curve1d,late,C1D-B,alpha,hill_q0,1082,3,0.4960059217349558,0.00828829145659453,0.1527134866595636,5.373987595550054,-0.26995142646513526,-0.00767125394899502,0.6515429850399524
C1D01_curve1d_evi_v2,C1D,topo+area,evi,curve1d,late,C1D-B,alpha,hill_q0,1082,3,0.49599284708060537,0.011724456654203427,0.152712062008051,5.373937462063324,-0.2809070402428081,-0.00798258142207467,0.6198997803878207
C2D11_pxcube_kndvi,C2D,topo+area,kndvi,pxcube,late,C2D-B,alpha,hill_q0,1082,3,0.4936370295608345,0.003406106352915528,0.15307482861219998,5.386703218863327,-0.36168929454881776,-0.01027818398831535,0.648851830933471
C2D10_stack5,C2D,topo+area,,stack5,late,C2D-B,alpha,hill_q0,1082,3,0.49070815286526437,0.01115050339125334,0.15351135488996434,5.402064578577854,-0.2569494352465876,-0.0073017742326395895,0.6358172164290118
C2D07_hilbert_kndvi_wA,C2D,topo+area,kndvi,hilbert,late,C2D-A,alpha,hill_q0,1082,3,0.48954412696990124,0.02702704464317377,0.15365740555717008,5.407204101556825,-0.4462188345938882,-0.012680273787834253,0.6748177428861855
B01_topo-area,BASE,topo+area,,,none,RF,alpha,hill_q0,1082,3,0.4837108839975601,0.019419263162170585,0.15455043114694225,5.438629672060909,-0.7377170736817332,-0.020963827044095815,0.6605979332006381
C2D02_serpentine_kndvi_wA,C2D,topo+area,kndvi,serpentine,late,C2D-A,alpha,hill_q0,1082,3,0.46457886448948793,0.026816726334982707,0.15737301770533252,5.537956493050661,-0.4816594726068084,-0.013687396209343781,0.6702872301747123
C2D08_cos2d_kndvi,C2D,topo+area,kndvi,cos2d,late,C2D-B,alpha,hill_q0,1082,3,0.4239697880280135,0.03621743053244331,0.1632136100516954,5.7434869377191715,-0.2647755688034757,-0.007524170753153601,0.5601246187970529
C2D02_serpentine_kndvi_none,C2D,topo+area,kndvi,serpentine,none,C2D-B,alpha,hill_q0,1082,3,0.41464786381157076,0.008537454972832396,0.16457936483331215,5.791547848484264,-0.18195206420278817,-0.0051705616425913,0.6412689874311207
C2D07_hilbert_kndvi_nperSample,C2D,topo+area,kndvi,hilbert,late,C2D-B,alpha,hill_q0,1082,3,0.3996248491036824,0.023479161315550445,0.16665971131709123,5.86475524124845,-0.5658091130990353,-0.016078690340978526,0.7035787128680963
C2D07_hilbert_kndvi_none,C2D,topo+area,kndvi,hilbert,none,C2D-B,alpha,hill_q0,1082,3,0.369438224796506,0.03749666183251161,0.17076857200689965,6.0093460489228105,-0.2558090865575938,-0.00726936875696486,0.6383983727178181
C2D02_serpentine_kndvi_nperSample,C2D,topo+area,kndvi,serpentine,late,C2D-B,alpha,hill_q0,1082,3,0.36439570077998823,0.022652003475925636,0.1714831692687698,6.034492726568021,-0.37058444730418794,-0.010530959002676532,0.6938025826708328
C2D04_mtf_kndvi,C2D,topo+area,kndvi,mtf,late,C2D-B,alpha,hill_q0,1082,3,0.08122475053769744,0.015108930131186925,0.20619083144214753,7.2558553584491845,-0.3354298517313623,-0.009531965096088708,0.45742217202905316
C2D03_gaf_kndvi,C2D,topo+area,kndvi,gaf,late,C2D-B,alpha,hill_q0,1082,3,0.0491812310404919,0.008525600544719835,0.2097589105889177,7.381416063624028,-0.01922544680212679,-0.0005463326741155667,0.4340878567487049
C2D02_serpentine_kndvi_nglobal,C2D,topo+area,kndvi,serpentine,late,C2D-B,alpha,hill_q0,1082,3,0.0295845385044327,0.007715144720190062,0.21190978414504932,7.4571053040642985,-0.3998310633104248,-0.01136206488520671,0.33778909432495957
C2D05_ndi_kndvi,C2D,topo+area,kndvi,ndi,late,C2D-B,alpha,hill_q0,1082,3,0.01699354610484567,0.018378466867952158,0.21327499796089022,7.505147178243739,-0.2752005894354906,-0.007820420273813305,0.38480959101216033
C2D07_hilbert_kndvi_nglobal,C2D,topo+area,kndvi,hilbert,late,C2D-B,alpha,hill_q0,1082,3,0.0081518724844241,0.040390851986400064,0.21420888822677134,7.538010776700097,-0.21653783396834247,-0.006153391132945216,0.3318467489172763
