run_id,family,substrate,alpha,beta_pa,beta_cover,phylo,dark,mean
C2D02_serpentine_kndvi_linear_shrink_ctxclim-topo-area_slope01,C2D,serpentine,0.45207353201179296,0.48076580034457755,0.2967087489699547,0.17218640204810987,0.3707787531438666,0.3545026473036603
C2D02_serpentine_kndvi_v2lin_ctxclim-topo-area,C2D,serpentine,0.45590228167927155,0.48261766680867524,0.30333094144703676,0.16369513846627196,0.36648887360858384,0.35440698040196783
C2D02_serpentine_kndvi_harmonic_reflect_ctxclim-topo-area,C2D,serpentine,0.4482365374413185,0.4925428918904904,0.30113995694638845,0.16145656338439282,0.3620983025340103,0.3530948504393201
C2D10_stack5_raw36_ctxclim-topo-area,C2D,stack5,0.447939229521604,0.47858131429733813,0.2933814889395363,0.1598673561673582,0.3645239460750827,0.34885866700018386
C2D02_serpentine_kndvi_linear_shrink_noaug_ctxclim-topo-area_multi,C2D,serpentine,0.44129919733382544,0.47418320073866865,0.28843397242215646,0.15298654798131128,0.35213262241319915,0.34180710817783216
C2D02_serpentine_kndvi_linear_shrink_noaug_ctxclim-topo-area_phea05,C2D,serpentine,0.41982033893424453,0.4772226874419323,0.2992953612685551,0.16679768751746804,0.3440401021877384,0.34143523546998766
C2D02_serpentine_kndvi_noaug,C2D,serpentine,0.4336522994368072,0.4670631731118173,0.29954481272978634,0.146630610978395,0.3415717507663539,0.3376925294046319
C2D07_hilbert_kndvi_wC,C2D,hilbert,0.39050811228942667,0.47304862514593676,0.2930875036180997,0.14989988721238237,0.3768569227479417,0.33668021020275746
C2D07_hilbert_kndvi_wX,C2D,hilbert,0.3876393528637905,0.4714110206124443,0.30301118452624415,0.129532620385527,0.3786425352465388,0.33404734272690895
C2D07_hilbert_kndvi_v2lin,C2D,hilbert,0.4018245717838157,0.4670971566020509,0.28465503518126867,0.16708265043490597,0.34196402601955395,0.332524688004319
C2D07_hilbert_kndvi_calendar,C2D,hilbert,0.4130447427938973,0.4605605703660378,0.27337433654979704,0.17141954706629006,0.3400577912855171,0.33169139761230787
