sample_id,X,Y,lon,lat,year,win_start,win_end,cell,mb_code,mb_class,mb_year_used,mb_delta,n_obs,DI,inside
U006713,289619.3177658218,6499739.783741806,-71.21791101678748,-31.618267802185688,2017,2015,2017,29_650,66,Shrubland,2017,0,157,0.3822061060602228,False
U006714,290694.1989137802,6497162.874493578,-71.207135156226,-31.64169650524163,2017,2015,2017,29_650,66,Shrubland,2017,0,146,0.16878432040257074,True
U006715,285955.9374498624,6501307.646691811,-71.25616532178076,-31.603456553127334,2017,2015,2017,29_650,66,Shrubland,2017,0,157,0.20090607519806963,True
U006716,288666.4143145075,6496315.176146617,-71.22868687734898,-31.648967482052097,2017,2015,2017,29_650,66,Shrubland,2017,0,154,0.2794934019834631,True
U006717,294154.52034344693,6496694.613727868,-71.170766626831,-31.646543823115277,2017,2015,2017,29_650,66,Shrubland,2017,0,138,0.23417681756042286,True
U006718,288698.01914129057,6504798.955237322,-71.22653170523668,-31.5724875778235,2017,2015,2017,29_650,66,Shrubland,2017,0,156,0.26336270594184685,True
U006719,294149.4612055317,6503385.183503287,-71.16941964426081,-31.58622164513216,2017,2015,2017,29_650,12,Grassland,2017,0,161,0.19914345189681565,True
U006720,292063.7516496285,6495159.336380798,-71.19312653749607,-31.660008594986504,2017,2015,2017,29_650,3,Forest,2017,0,136,0.2461877872664236,True
U006721,285861.4333518228,6499692.67183242,-71.25751230435094,-31.617998506748265,2022,2020,2022,29_650,66,Shrubland,2022,0,193,0.22446760295778195,True
U006722,288956.7085547191,6503400.3295307215,-71.22410713661034,-31.58514446338246,2022,2020,2022,29_650,66,Shrubland,2022,0,190,0.089371172145441,True
U006723,294315.58324565226,6497593.890621983,-71.16888085123274,-31.638464959992536,2022,2020,2022,29_650,66,Shrubland,2022,0,192,0.0945512353941927,True
U006724,287544.4334293679,6502415.654587723,-71.23919334139642,-31.59376191738005,2022,2020,2022,29_650,66,Shrubland,2022,0,192,0.0511670719759228,True
U006725,289948.8716221136,6502404.890813358,-71.21387006907693,-31.594300508254896,2022,2020,2022,29_650,66,Shrubland,2022,0,211,0.18493958523434773,True
U006726,286514.65261711297,6501498.390606444,-71.25023859847194,-31.601840780502787,2022,2020,2022,29_650,66,Shrubland,2022,0,197,0.0604928686345564,True
U006727,290702.04725700966,6496774.724082795,-71.207135156226,-31.64519734592815,2022,2020,2022,29_650,66,Shrubland,2022,0,190,0.1649165232084187,True
U006728,294371.56836937903,6499924.790719621,-71.16780326517659,-31.61745991587341,2022,2020,2022,29_650,12,Grassland,2022,0,204,0.038829108555588146,True
U006729,290547.96182166366,6495546.937177474,-71.20902093182427,-31.65623845886256,2022,2020,2022,29_650,3,Forest,2022,0,200,0.19890049411725957,True
U006730,290647.6441162234,6510178.750472456,-71.20485989441819,-31.52434086704924,2014,2012,2014,29_651,66,Shrubland,2014,0,122,0.07082974106186578,True
U006731,291813.82657079137,6509544.983058196,-71.1927191116851,-31.530265889967595,2014,2012,2014,29_651,66,Shrubland,2014,0,142,0.13726725105511345,True
U006732,292207.1489091136,6507820.29216069,-71.18894197927924,-31.54588640493418,2014,2012,2014,29_651,66,Shrubland,2014,0,128,0.20047039345911477,True
U006733,291572.2687866913,6512646.8033228535,-71.19460767788802,-31.502256690717164,2014,2012,2014,29_651,66,Shrubland,2014,0,138,0.27770799006200875,True
U006734,289475.2708010364,6511110.993715281,-71.21700067715129,-31.515722651895256,2014,2012,2014,29_651,66,Shrubland,2014,0,129,0.05407668522384743,True
U006735,293929.5571990332,6508840.348290445,-71.17059590759366,-31.53699887055664,2014,2012,2014,29_651,66,Shrubland,2014,0,121,0.11343878802486405,True
U006736,289352.73121821805,6514633.422841469,-71.21754026749498,-31.48394298351496,2014,2012,2014,29_651,66,Shrubland,2014,0,131,0.09551580273367369,True
U006737,287852.9039886736,6510211.731969325,-71.23426756814948,-31.52353290937855,2014,2012,2014,29_651,12,Grassland,2014,0,129,0.06399401580454134,True
U006738,293332.5057566281,6514384.563392261,-71.17572201585875,-31.486905494974145,2014,2012,2014,29_651,12,Grassland,2014,0,138,0.06468835771892237,True
