run_id,family,features,index,substrate,fusion,model,facet,n_targets,R2,R2_min,R2_max,nRMSE,nBias,nBias_abs,spearman
B03_coords,BASE,coords,,,none,RF,beta_cover,3,0.34390255054425406,0.24702591903467597,0.411305849841959,0.21159216071831444,0.011109653147686895,0.016424939649918088,0.5913656686039802
RF05_lsp_all-topo-area,RF,lsp_all+topo+area,,,none,RF,beta_cover,3,0.3350693549656692,0.3132867869664875,0.36996242248248307,0.21371419655719914,0.006013723020805068,0.017307331870487806,0.5987904628306194
RF04_lsp-curve-topo-area_evi,RF,lsp+curve+topo+area,evi,,none,RF,beta_cover,3,0.33313003906656263,0.29980042412743063,0.3891577952043382,0.21378035044564017,0.007522611295669129,0.018925031915323704,0.5870317192606698
MLP07_curve_all,MLP,curve_all,,tabular,late,MLP-A,beta_cover,3,0.33080559385172004,0.261188069739241,0.37627766405600777,0.21400525680470373,0.0034475849017222594,0.01344538639230866,0.606250013969614
RF04_lsp-curve-topo-area_nbr,RF,lsp+curve+topo+area,nbr,,none,RF,beta_cover,3,0.32860875412326057,0.2837903777168173,0.3931497406810845,0.21438125528843754,0.006071906554061367,0.01514504263198793,0.5942912021185052
RF04_lsp-curve-topo-area_savi,RF,lsp+curve+topo+area,savi,,none,RF,beta_cover,3,0.3276584896391486,0.2935130654161428,0.3878475490808751,0.2146274425286303,0.008044031570698015,0.019463320893932188,0.578870922158426
RF02_lsp-qc-topo-area_kndvi,RF,lsp+qc+topo+area,kndvi,,none,RF,beta_cover,3,0.32756131689552787,0.29327832516544167,0.36135121944989074,0.21498966705612488,0.007740430823377028,0.01818336152079203,0.5841728426533958
RF03_curve-topo-area_kndvi,RF,curve+topo+area,kndvi,,none,RF,beta_cover,3,0.32710968894433406,0.2876587589883077,0.36672659308871003,0.21502397360361913,0.006649186217524951,0.01773189023378677,0.5777395027825961
RF08_lsp-curve-topo_evi,RF,lsp+curve+topo,evi,,none,RF,beta_cover,3,0.3261131778391389,0.28247916613682805,0.3897616825734123,0.21492162385192537,0.0072067607118392945,0.01968315979702044,0.5778200763855127
RF03_curve-topo-area_nbr,RF,curve+topo+area,nbr,,none,RF,beta_cover,3,0.32576921343898807,0.2900960794912419,0.3925635740368308,0.2148992438355574,0.006298216430956748,0.015253272761313314,0.5886926072219265
RF02_lsp-qc-topo-area_ndvi,RF,lsp+qc+topo+area,ndvi,,none,RF,beta_cover,3,0.32542742840333067,0.2963078475583407,0.3580300776656147,0.21532242470592977,0.006804435503688498,0.017918697130841776,0.5813928804384235
