run_id,scheme,family,substrate,index,fusion,R2_main,R2_main_sd,R2_main_ens,R2_alpha,R2_beta,R2_beta_cover,hill_q0,hill_q1,hill_q2,lcbd_cover,lcbd_pa,pcoa1_cover,pcoa1_pa,pcoa2_cover,pcoa2_pa
B01_topo-area,kfold5_random,BASE,,,none,0.3711727962691114,0.006404578237363233,0.37486485859240465,0.3201139413247613,0.42223165121346157,0.2418584191956077,0.5443802928188242,0.2382705815943439,0.1776909495611157,0.2364994897119854,0.4457623458942875,0.2582688686330627,0.4618468515698026,0.230806899241775,0.3590857561762946
C1D01_curve1d_kndvi,kfold5_random,C1D,curve1d,kndvi,late,0.3746762254363794,0.041444893503789965,0.4359591219796184,0.3292089548724087,0.4201434960003502,0.23400342782303415,0.4525201056595804,0.2933282645085457,0.2417784944490999,0.2200729486891767,0.384724705234139,0.256529610277825,0.5026400719813578,0.2254077245021007,0.3730657107855538
C2D11_pxcube_kndvi,kfold5_random,C2D,pxcube,kndvi,late,0.377740515482087,0.042937050900710504,0.43741824326997186,0.34710090073693395,0.4083801302272399,0.23601956087536544,0.4742777861790871,0.3035763974009664,0.2634485186307483,0.2282866725914511,0.3767451910105525,0.2666653186635548,0.5135191469142698,0.2131066913710904,0.3348760527568975
C2D10_stack5,kfold5_random,C2D,stack5,,late,0.356514338596603,0.045936120378505384,0.41258522225594324,0.30989307582824854,0.40313560136495735,0.2233766812609154,0.4487727976678338,0.2648777400375247,0.2160286897793872,0.1977584268007425,0.3575391865108722,0.2736634546466091,0.5050351780546284,0.1987081623353946,0.3468324395293716
RF06_curve_all-topo-area,kfold5_block20,RF,,,none,0.3086898406793557,0.008353563079772983,0.3111510332771739,0.22181300118628014,0.3955666801724312,0.24030636221516413,0.3684141239890472,0.1372113677152353,0.159813511854558,0.247812589943569,0.3643958309081803,0.3160399171862071,0.4931914823801915,0.1570665795157163,0.3291127272289219
RF03_curve-topo-area_evi,kfold5_block20,RF,,evi,none,0.30341039809608644,0.009818899788656667,0.30611714559060105,0.21542065075403827,0.3914001454381346,0.2369147246803146,0.3823693671412445,0.1254577675117592,0.1384348176091111,0.2514424348026911,0.3555524640918354,0.3300533333627184,0.467518038233548,0.1292484058755343,0.3511299339890204
RF03_curve-topo-area_kndvi,kfold5_block20,RF,,kndvi,none,0.34975427946427584,0.009954512659765984,0.35242128677535667,0.31258374007925027,0.38692481884930147,0.23341686492119318,0.4923273331339076,0.2192477166522557,0.2261761704515875,0.2079602463698623,0.3523308898961986,0.3157200168044764,0.4715288519355942,0.1765703315892408,0.3369147147161116
RF01_lsp-topo-area_kndvi,kfold5_block20,RF,,kndvi,none,0.32381802098552714,0.01152535202380775,0.32640523208101596,0.26478604570793723,0.38284999626311694,0.20625026585906567,0.4698534721549407,0.1592709736723591,0.165233691296512,0.1634354266399236,0.3115875886293928,0.3076472141155236,0.4772849583387157,0.1476681568217498,0.3596774418212425
RF03_curve-topo-area_savi,kfold5_block20,RF,,savi,none,0.3012096738012953,0.010608445708741998,0.30387906955418603,0.2222232502551613,0.3801960973474294,0.22596990550695092,0.4042484269322529,0.1264801370059474,0.1359411868272836,0.2497566593752457,0.3450248120942579,0.3149192425203957,0.4525288676368044,0.1132338146252113,0.3430346123112258
RF03_curve-topo-area_ndvi,kfold5_block20,RF,,ndvi,none,0.33904468447477804,0.010147748578834917,0.34169349193060966,0.29809718814211567,0.3799921808074404,0.22908124533232252,0.4834018884403225,0.203016550951238,0.2078731250347865,0.2056056931771424,0.3392448305167419,0.307080564531083,0.4562024573497501,0.1745574782887421,0.3445292545558291
RF01_lsp-topo-area_evi,kfold5_block20,RF,,evi,none,0.3006170175222194,0.008721409578530168,0.3031449851828365,0.22773419815687757,0.37349983688756133,0.21575483168700474,0.4275343196369016,0.1318722103619047,0.1237960644718264,0.2130589021822264,0.3232194346415695,0.2955103598972274,0.4634202760078101,0.1386952329815604,0.3338598000133045
RF01_lsp-topo-area_ndvi,kfold5_block20,RF,,ndvi,none,0.3244441952730495,0.009333019968414,0.326927716146573,0.27553448593849805,0.37335390460760093,0.19769500705534648,0.5097132236549653,0.1573422947683077,0.1595479393922212,0.1432445795890468,0.301280254993485,0.3079601976267491,0.468551839888627,0.1418802439502435,0.350229618940691
