row,scheme,agg,spec,index,question,minutes,hill_q0,hill_q1,hill_q2,lcbd_pa,pcoa1_pa,pcoa2_pa,lcbd_cover,pcoa1_cover,pcoa2_cover,R2_beta,R2_beta_sd,R2_alpha,R2_beta_cover,n_features
X15,kfold5_window,median,clim+area,,clima solo: normales bioclimaticas 1971-2000,2.37,0.7563061139567612,0.5181592362265209,0.4703718621791457,0.5250978708683941,0.5074662526991418,0.5153155183111578,0.4183245964931157,0.3969932339453965,0.3138214525067389,0.5159598806262312,0.0019788566645192,0.5816124041208093,0.3763797609817503,18
X16,kfold5_owner,median,clim+topo+area,,"clima + topografia, sin nada de teledeteccion",2.97,-0.1300821704747194,-0.623617244222006,-0.9369384358563336,0.1761804010208878,0.203810404234646,0.2265143640487756,0.0032575389444954,-0.0098925506440445,0.0795802054659334,0.2021683897681031,0.0241958929128567,-0.563545950184353,0.0243150645887947,35
X16,kfold5_window,median,clim+topo+area,,"clima + topografia, sin nada de teledeteccion",3.1,0.7509283315735438,0.5217155278434559,0.469987657504497,0.5381699094400872,0.5582807793510097,0.5281206431229611,0.4184393369927421,0.4198633174975191,0.3270853019351369,0.541523777304686,0.0041052020268447,0.5808771723071656,0.3884626521417993,35
X17,kfold5_owner,median,curve+clim+topo+area,kndvi,EL CONTRASTE: la fenologia aporta SOBRE el clima?,4.82,-0.1418258438811067,-0.6985451052073414,-0.9625489474665426,0.2480892701496979,0.3576191718378878,0.3210574116589169,-0.000706292481854,0.0614365142386896,0.1080703944787978,0.3089219512155008,0.0135266689772409,-0.6009732988516636,0.0562668720785444,87
X17,kfold5_window,median,curve+clim+topo+area,kndvi,EL CONTRASTE: la fenologia aporta SOBRE el clima?,4.98,0.7172144772781914,0.5188071133678118,0.4696524826049884,0.5444936925691853,0.5801346245952699,0.5606658607742924,0.4095721911702601,0.433364012908178,0.3676420370387719,0.5617647259795825,0.0031024398808563,0.5685580244169972,0.4035260803724034,87
X18,kfold5_owner,median,curve_all+clim+topo+area,,las 5 curvas + clima,9.75,-0.1853805548515793,-0.7665035996356778,-1.017676531960931,0.25464905396505,0.3852228871570308,0.2862444889691811,-0.0157863125425141,0.0466010538658621,0.0424046972531276,0.3087054766970873,0.0124148129692237,-0.6565202288160628,0.0244064795254918,295
X18,kfold5_window,median,curve_all+clim+topo+area,,las 5 curvas + clima,8.95,0.7080653986748379,0.5079356284318969,0.4548266400939822,0.5351504772721843,0.5776745363793917,0.5427460849115834,0.4057593223257347,0.4212788660748653,0.3746548949238259,0.5518570328543865,0.0037732766547421,0.5569425557335723,0.400564361108142,295
X19,kfold5_owner,median,lsp+curve+gm+seas_all+contrast+clim+topo+area,kndvi,el mejor candidato completo,5.86,-0.1291842048713436,-0.6093742689324274,-0.7210523748947698,0.2281655620456637,0.3469518591192201,0.2943268611290164,-0.0573357340591635,0.0370877015310302,0.0795673686799439,0.2898147607646335,0.0137532374340708,-0.4865369495661802,0.0197731120506035,180
X19,kfold5_window,median,lsp+curve+gm+seas_all+contrast+clim+topo+area,kndvi,el mejor candidato completo,5.88,0.699689555036172,0.5143287973778116,0.4702672809480441,0.5465290009652003,0.5703129619921486,0.5449445777072718,0.4067884324121811,0.4209904968465858,0.3830697530083302,0.553928846888207,0.0045780433318411,0.5614285444540092,0.4036162274223657,180
X07,kfold5_owner,mean,gm+topo+area,,geomediana + las tres MAD: composite sin forma temporal,2.25,-0.3208357983684238,-0.4739260930884073,-0.4406035092355514,0.1360788919594528,0.3862902806337221,0.1604495179962824,-0.1911261342013452,0.0532849783664221,-0.0096624007267187,0.2276062301964857,0.0121050136745743,-0.4117884668974609,-0.0491678521872139,36
X12,kfold5_owner,mean,gm+obscomp_all+seas_all+contrast+topo+area,,"todo lo que NO tiene forma, junto",5.59,-0.2734883156020962,-0.4160739929895815,-0.4213235698721618,0.1042574760211308,0.3656950383122567,0.1539073599338269,-0.2037902881871175,0.0227704686340954,-0.0660896613935914,0.2079532914224048,0.0142002773909947,-0.3702952928212799,-0.0823698269822045,161
X07,kfold5_owner,trimmed,gm+topo+area,,geomediana + las tres MAD: composite sin forma temporal,2.3,-0.3252367936143657,-0.469483238376794,-0.421077382365832,0.1210462292852948,0.3801050579336686,0.1629032485592508,-0.1846306999340058,0.0448557941577082,0.0024118444287,0.2213515119260714,0.0107294457413952,-0.4052658047856639,-0.0457876871158658,36
X12,kfold5_owner,trimmed,gm+obscomp_all+seas_all+contrast+topo+area,,"todo lo que NO tiene forma, junto",5.53,-0.2807331063829033,-0.4120792879127815,-0.4386259385791324,0.0864950483356642,0.3546196481192532,0.1552723379896265,-0.2154929146272937,0.0242741291374936,-0.0495241477568328,0.1987956781481813,0.0133999424080042,-0.3771461109582724,-0.0802476444155443,161
X07,kfold5_owner,center,gm+topo+area,,geomediana + las tres MAD: composite sin forma temporal,2.25,-0.28909348737980406,-0.33477516868537477,-0.30056375160071247,0.1572245616983837,0.408817987775768,0.1369966654372531,-0.19299667193022074,0.06674700225456857,0.06855586917801611,0.23434640497046824,0.015680040472252646,-0.30814413588863043,-0.01923126683254535,36
X12,kfold5_owner,center,gm+obscomp_all+seas_all+contrast+topo+area,,"todo lo que NO tiene forma, junto",5.61,-0.28037947611678077,-0.37151896503715043,-0.3674134107264586,0.07166749747134527,0.36887113197466315,0.14819014009194,-0.25186897306392325,0.03773893379049553,0.01241562242519112,0.19624292317931613,0.01701668008475383,-0.3397706172934633,-0.0672381389494122,161
