site_id,X,Y,lon,lat,year,win_start,win_end,cell,n_obs_center,n_obs_mean5x5,max_doy_gap,mean_doy_gap,frac_valid_px,n_obs_per_year,n_years_with_obs,patch_y,patch_x,sensors,error
LT1684,259944.99999999703,5907802.999999998,-71.6957631912482,-36.9452720447339,2013,2011.0,2013.0,52_1182,54.0,54.0,21.0,6.849056603773585,0.6585365853658537,"{""2011"": 18, ""2012"": 16, ""2013"": 20}",3.0,5.0,5.0,"landsat5,landsat7,landsat8",
LT1685,259892.0000000036,5908764.999999998,-71.6960523441503,-36.9365961955542,2017,2015.0,2017.0,52_1182,68.0,70.0,24.0,5.260869565217392,0.54,"{""2015"": 27, ""2016"": 22, ""2017"": 21}",3.0,5.0,5.0,"landsat7,landsat8",
LT1843,260327.00000000064,6096101.999999999,-71.6342165915003,-35.2495419863528,2016,2014.0,2016.0,52_1219,74.0,77.0,32.0,4.776315789473684,0.5572519083969466,"{""2014"": 27, ""2015"": 27, ""2016"": 23}",3.0,5.0,5.0,"landsat7,landsat8",
LT1844,260086.9999999999,6100092.000000005,-71.6356884246391,-35.2135445309807,2015,2013.0,2015.0,52_1220,66.0,72.0,27.0,5.112676056338028,0.5228346456692914,"{""2013"": 20, ""2014"": 27, ""2015"": 25}",3.0,5.0,5.0,"landsat7,landsat8",
LT1888,258416.00000000524,6178067.999999996,-71.6315443595241,-34.5107337183985,2014,2012.0,2014.0,52_1236,100.0,116.0,9.0,3.165217391304348,0.5521311475409836,"{""2012"": 24, ""2013"": 43, ""2014"": 49}",3.0,5.0,5.0,"landsat7,landsat8",
LT1919,258387.9999999995,6229182.000000006,-71.6175254800554,-34.0502402638189,2014,2012.0,2014.0,52_1246,80.0,99.0,16.0,3.7142857142857135,0.4389473684210526,"{""2012"": 21, ""2013"": 35, ""2014"": 43}",3.0,5.0,5.0,"landsat7,landsat8",
LT1962,260399.0000000001,6315371.999999998,-71.5725249762884,-33.2741118371557,2014,2012.0,2014.0,52_1263,82.0,102.0,19.0,3.603960396039604,0.4708888888888889,"{""2012"": 22, ""2013"": 35, ""2014"": 45}",3.0,5.0,5.0,"landsat7,landsat8",
LT0056,262291.1684890649,4210380.234966609,-72.4790873848225,-52.2056687668095,2014,2012.0,2014.0,52_842,22.0,26.0,109.0,13.44,0.1386486486486486,"{""2012"": 2, ""2013"": 9, ""2014"": 15}",3.0,5.0,5.0,"landsat7,landsat8",
LT0095,260362.24212258487,4294475.824745275,-72.4490597039408,-51.4501055129049,2018,2016.0,2018.0,52_859,47.0,52.0,104.0,7.078431372549019,0.3392805755395683,"{""2016"": 14, ""2017"": 16, ""2018"": 22}",3.0,5.0,5.0,"landsat7,landsat8",
LT0240,260673.0589997451,4874492.96382848,-72.1043568174596,-46.2409749546552,2015,2013.0,2015.0,52_975,77.0,88.0,44.0,4.172413793103448,0.3814925373134328,"{""2013"": 24, ""2014"": 32, ""2015"": 32}",3.0,5.0,5.0,"landsat7,landsat8",
